innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Delhi Daredevils,IK Pathan,4.0,0,20,1,5.0,11,1,0
1,Delhi Daredevils,M Morkel,4.0,0,37,0,9.25,7,0,0
1,Delhi Daredevils,P Negi,4.0,0,18,1,4.5,11,0,0
1,Delhi Daredevils,UT Yadav,4.0,0,37,1,9.25,6,1,0
1,Delhi Daredevils,VR Aaron,4.0,0,48,0,12.0,5,0,0
2,Kolkata Knight Riders,Iqbal Abdulla,4.0,0,24,1,6.0,7,0,0
2,Kolkata Knight Riders,JH Kallis,4.0,0,24,2,6.0,12,3,0
2,Kolkata Knight Riders,L Balaji,2.0,0,11,1,5.5,5,1,0
2,Kolkata Knight Riders,R Bhatia,2.0,0,16,1,8.0,5,0,0
2,Kolkata Knight Riders,SP Narine,4.0,0,24,2,6.0,11,0,0
2,Kolkata Knight Riders,Shakib Al Hasan,4.0,0,36,1,9.0,6,0,0
