innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Chennai Super Kings,M Vijay,113,58,15,4,194.83,"run out (DA Warner, NV Ojha)",1
1,Chennai Super Kings,MEK Hussey,20,22,2,0,90.91,c NV Ojha b VR Aaron,2
1,Chennai Super Kings,SK Raina,27,17,3,1,158.82,c & b P Negi,3
1,Chennai Super Kings,MS Dhoni,23,10,1,2,230.0,c P Negi b VR Aaron,4
1,Chennai Super Kings,JA Morkel,0,1,0,0,0.0,c NV Ojha b UT Yadav,5
1,Chennai Super Kings,DJ Bravo,33,12,3,2,275.0,not out,6
2,Delhi Daredevils,DPMD Jayawardene,55,38,4,2,144.74,b R Ashwin,1
2,Delhi Daredevils,DA Warner,3,7,0,0,42.86,c M Vijay b BW Hilfenhaus,2
2,Delhi Daredevils,V Sehwag,1,6,0,0,16.67,c MEK Hussey b JA Morkel,3
2,Delhi Daredevils,LRPL Taylor,24,14,1,2,171.43,c SK Raina b DJ Bravo,4
2,Delhi Daredevils,AD Russell,16,11,2,0,145.45,c DJ Bravo b R Ashwin,5
2,Delhi Daredevils,NV Ojha,7,5,0,1,140.0,c M Vijay b SB Jakati,6
2,Delhi Daredevils,Y Venugopal Rao,10,7,0,1,142.86,"run out (DJ Bravo, R Ashwin)",7
2,Delhi Daredevils,P Negi,8,6,0,1,133.33,not out,8
2,Delhi Daredevils,Sunny Gupta,0,1,0,0,0.0,st MS Dhoni b SB Jakati,9
2,Delhi Daredevils,UT Yadav,1,4,0,0,25.0,b R Ashwin,10
2,Delhi Daredevils,VR Aaron,0,2,0,0,0.0,run out (MS Dhoni),11
