innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Chennai Super Kings,1,MEK Hussey,41,32,M Vijay,42,32,87,62
1,Chennai Super Kings,2,MEK Hussey,13,11,SK Raina,58,30,73,41
1,Chennai Super Kings,3,MS Dhoni,14,9,SK Raina,15,8,30,17
1,Chennai Super Kings,4,MS Dhoni,14,9,SK Raina,15,8,30,17
2,Kolkata Knight Riders,1,MS Bisla,1,2,G Gambhir,2,4,3,6
2,Kolkata Knight Riders,2,MS Bisla,88,46,JH Kallis,41,36,136,82
2,Kolkata Knight Riders,3,JH Kallis,10,4,LR Shukla,3,6,13,10
2,Kolkata Knight Riders,4,JH Kallis,11,3,YK Pathan,1,2,12,5
2,Kolkata Knight Riders,5,JH Kallis,7,6,Shakib Al Hasan,4,4,11,10
2,Kolkata Knight Riders,6,Shakib Al Hasan,7,3,MK Tiwary,9,3,17,5
