match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
1,Chennai Super Kings,RE Levi,50,35,6,3,142.86,c DE Bollinger b DJ Bravo
1,Chennai Super Kings,SR Tendulkar,16,15,1,1,106.67,retired hurt
1,Chennai Super Kings,RG Sharma,0,3,0,0,0.0,c MS Dhoni b DE Bollinger
1,Chennai Super Kings,AT Rayudu,18,18,0,1,100.0,not out
1,Chennai Super Kings,JEC Franklin,25,30,2,0,83.33,not out
3,Pune Warriors,RE Levi,0,2,0,0,0.0,st RV Uthappa b M Kartik
3,Pune Warriors,AT Rayudu,1,2,0,0,50.0,c M Kartik b AB Dinda
3,Pune Warriors,RG Sharma,1,6,0,0,16.67,c RV Uthappa b AB Dinda
3,Pune Warriors,JEC Franklin,32,42,1,1,76.19,c CJ Ferguson b AB Dinda
3,Pune Warriors,KD Karthik,32,32,4,1,100.0,st RV Uthappa b M Kartik
3,Pune Warriors,SA Yadav,0,4,0,0,0.0,b MN Samuels
3,Pune Warriors,KA Pollard,8,11,0,0,72.73,b R Sharma
3,Pune Warriors,Harbhajan Singh,16,15,2,0,106.67,lbw b AB Dinda
3,Pune Warriors,SL Malinga,5,3,1,0,166.67,c RV Uthappa b WD Parnell
3,Pune Warriors,PP Ojha,0,1,0,0,0.0,not out
3,Pune Warriors,MM Patel,1,2,0,0,50.0,not out
9,Deccan Chargers,TL Suman,5,9,1,0,55.56,c & b DW Steyn
9,Deccan Chargers,RE Levi,3,9,0,0,33.33,b DW Steyn
9,Deccan Chargers,RG Sharma,73,50,4,5,146.0,not out
9,Deccan Chargers,AT Rayudu,19,24,1,0,79.17,c S Dhawan b A Mishra
9,Deccan Chargers,KA Pollard,24,18,0,3,133.33,c S Dhawan b DT Christian
9,Deccan Chargers,KD Karthik,7,6,1,0,116.67,b DW Steyn
9,Deccan Chargers,JEC Franklin,7,4,1,0,175.0,not out
12,Rajasthan Royals,RE Levi,29,22,4,1,131.82,b GB Hogg
12,Rajasthan Royals,TL Suman,10,10,0,1,100.0,c SK Trivedi b A Singh
12,Rajasthan Royals,RG Sharma,21,13,2,1,161.54,b GB Hogg
12,Rajasthan Royals,AT Rayudu,47,32,1,3,146.88,not out
12,Rajasthan Royals,KA Pollard,64,33,6,4,193.94,c AM Rahane b AA Chavan
12,Rajasthan Royals,KD Karthik,0,1,0,0,0.0,c SK Trivedi b KK Cooper
12,Rajasthan Royals,JEC Franklin,2,3,0,0,66.67,c AM Rahane b A Singh
12,Rajasthan Royals,Harbhajan Singh,18,6,1,2,300.0,not out
19,Delhi Daredevils,RE Levi,1,4,0,0,25.0,b S Nadeem
19,Delhi Daredevils,DJ Jacobs,0,10,0,0,0.0,b S Nadeem
19,Delhi Daredevils,RG Sharma,29,27,5,0,107.41,c LRPL Taylor b AB Agarkar
19,Delhi Daredevils,AT Rayudu,4,11,0,0,36.36,"run out (V Sehwag, NV Ojha)"
19,Delhi Daredevils,KA Pollard,1,3,0,0,33.33,c LRPL Taylor b UT Yadav
19,Delhi Daredevils,KD Karthik,3,4,0,0,75.0,c KP Pietersen b UT Yadav
19,Delhi Daredevils,Harbhajan Singh,33,22,5,1,150.0,c NV Ojha b M Morkel
19,Delhi Daredevils,CJ McKay,8,15,0,0,53.33,c UT Yadav b IK Pathan
19,Delhi Daredevils,RP Singh,0,4,0,0,0.0,b M Morkel
19,Delhi Daredevils,PP Ojha,3,12,0,0,25.0,b AB Agarkar
19,Delhi Daredevils,MM Patel,1,5,0,0,20.0,not out
28,Kings XI Punjab,JEC Franklin,79,51,6,4,154.9,c DA Miller b P Kumar
28,Kings XI Punjab,SR Tendulkar,23,23,3,0,100.0,"run out (DA Miller, N Saini)"
28,Kings XI Punjab,RG Sharma,2,5,0,0,40.0,c N Saini b P Awana
28,Kings XI Punjab,KD Karthik,35,20,5,0,175.0,"run out (SE Marsh, PP Chawla)"
28,Kings XI Punjab,KA Pollard,7,10,1,0,70.0,c Mandeep Singh b P Awana
28,Kings XI Punjab,Harbhajan Singh,4,3,1,0,133.33,c SD Chitnis b P Kumar
28,Kings XI Punjab,NLTC Perera,4,5,0,0,80.0,not out
28,Kings XI Punjab,AT Rayudu,3,3,0,0,100.0,not out
33,Kings XI Punjab,JEC Franklin,22,22,2,0,100.0,c N Saini b Azhar Mahmood
33,Kings XI Punjab,SR Tendulkar,34,29,4,0,117.24,c N Saini b Azhar Mahmood
33,Kings XI Punjab,RG Sharma,50,30,3,3,166.67,c Azhar Mahmood b P Awana
33,Kings XI Punjab,KD Karthik,3,6,0,0,50.0,c Azhar Mahmood b PP Chawla
33,Kings XI Punjab,KA Pollard,3,7,0,0,42.86,c Mandeep Singh b P Awana
33,Kings XI Punjab,AT Rayudu,34,17,2,2,200.0,not out
33,Kings XI Punjab,Harbhajan Singh,0,2,0,0,0.0,c SE Marsh b P Awana
33,Kings XI Punjab,RJ Peterson,16,7,2,1,228.57,not out
36,Delhi Daredevils,AC Blizzard,0,3,0,0,0.0,c DPMD Jayawardene b IK Pathan
36,Delhi Daredevils,SR Tendulkar,7,7,0,1,100.0,c KP Pietersen b M Morkel
36,Delhi Daredevils,RG Sharma,12,6,1,1,200.0,c AB Agarkar b IK Pathan
36,Delhi Daredevils,KD Karthik,40,28,7,0,142.86,b AB Agarkar
36,Delhi Daredevils,AT Rayudu,62,39,5,3,158.97,c DPMD Jayawardene b S Nadeem
36,Delhi Daredevils,KA Pollard,16,9,1,1,177.78,b S Nadeem
36,Delhi Daredevils,RJ Peterson,2,2,0,0,100.0,"run out (DPMD Jayawardene, NV Ojha)"
36,Delhi Daredevils,Harbhajan Singh,15,12,2,0,125.0,c IK Pathan b UT Yadav
36,Delhi Daredevils,SL Malinga,11,13,1,0,84.62,b UT Yadav
36,Delhi Daredevils,RP Singh,1,1,0,0,100.0,not out
40,Deccan Chargers,RE Levi,0,1,0,0,0.0,b DW Steyn
40,Deccan Chargers,SR Tendulkar,14,14,1,0,100.0,c DT Christian b V Pratap Singh
40,Deccan Chargers,RG Sharma,42,48,4,1,87.5,c IR Jaggi b JP Duminy
40,Deccan Chargers,KD Karthik,2,6,0,0,33.33,c PA Patel b DW Steyn
40,Deccan Chargers,JEC Franklin,13,20,0,0,65.0,c PA Patel b A Ashish Reddy
40,Deccan Chargers,AT Rayudu,19,15,2,0,126.67,not out
40,Deccan Chargers,RJ Peterson,1,5,0,0,20.0,not out
45,Pune Warriors,JEC Franklin,25,23,3,1,108.7,c M Manhas b B Kumar
45,Pune Warriors,SR Tendulkar,34,35,4,0,97.14,c RV Uthappa b A Nehra
45,Pune Warriors,RG Sharma,3,5,0,0,60.0,"run out (SPD Smith, RV Uthappa)"
45,Pune Warriors,RJ Peterson,13,14,1,0,92.86,c SC Ganguly b A Nehra
45,Pune Warriors,KD Karthik,18,22,1,0,81.82,not out
45,Pune Warriors,AT Rayudu,1,3,0,0,33.33,b B Kumar
45,Pune Warriors,NLTC Perera,0,4,0,0,0.0,run out (SPD Smith)
45,Pune Warriors,Harbhajan Singh,0,1,0,0,0.0,c WD Parnell b AB Dinda
45,Pune Warriors,SL Malinga,14,14,1,1,100.0,"run out (SPD Smith, RV Uthappa)"
45,Pune Warriors,PP Ojha,1,1,0,0,100.0,run out (RV Uthappa)
49,Chennai Super Kings,JEC Franklin,1,9,0,0,11.11,c M Vijay b BW Hilfenhaus
49,Chennai Super Kings,SR Tendulkar,74,44,11,1,168.18,c F du Plessis b R Ashwin
49,Chennai Super Kings,RG Sharma,60,46,6,2,130.43,b RA Jadeja
49,Chennai Super Kings,KD Karthik,11,5,2,0,220.0,b DJ Bravo
49,Chennai Super Kings,AT Rayudu,0,2,0,0,0.0,b RA Jadeja
49,Chennai Super Kings,DR Smith,24,9,2,2,266.67,not out
49,Chennai Super Kings,RJ Peterson,0,2,0,0,0.0,run out (F du Plessis)
49,Chennai Super Kings,Harbhajan Singh,0,1,0,0,0.0,c WP Saha b DJ Bravo
49,Chennai Super Kings,SL Malinga,0,1,0,0,0.0,b BW Hilfenhaus
49,Chennai Super Kings,RP Singh,1,1,0,0,100.0,not out
54,Royal Challengers Bangalore,JEC Franklin,1,6,0,0,16.67,c Z Khan b R Vinay Kumar
54,Royal Challengers Bangalore,SR Tendulkar,24,27,4,0,88.89,c & b HV Patel
54,Royal Challengers Bangalore,RG Sharma,0,3,0,0,0.0,lbw b R Vinay Kumar
54,Royal Challengers Bangalore,KD Karthik,44,39,3,1,112.82,c V Kohli b M Muralitharan
54,Royal Challengers Bangalore,AT Rayudu,22,17,2,0,129.41,c M Muralitharan b HV Patel
54,Royal Challengers Bangalore,DR Smith,2,3,0,0,66.67,c R Vinay Kumar b M Muralitharan
54,Royal Challengers Bangalore,KA Pollard,21,13,0,2,161.54,not out
54,Royal Challengers Bangalore,Harbhajan Singh,20,12,3,0,166.67,not out
58,Kolkata Knight Riders,HH Gibbs,66,58,7,2,113.79,not out
58,Kolkata Knight Riders,SR Tendulkar,2,2,0,0,100.0,st MS Bisla b Shakib Al Hasan
58,Kolkata Knight Riders,RG Sharma,109,60,12,5,181.67,not out
62,Royal Challengers Bangalore,HH Gibbs,2,6,0,0,33.33,"run out (KP Appanna, SS Tiwary)"
62,Royal Challengers Bangalore,SR Tendulkar,0,1,0,0,0.0,c V Kohli b Z Khan
62,Royal Challengers Bangalore,RG Sharma,5,7,1,0,71.43,c & b R Vinay Kumar
62,Royal Challengers Bangalore,KD Karthik,16,14,3,0,114.29,c HV Patel b M Muralitharan
62,Royal Challengers Bangalore,AT Rayudu,81,54,6,4,150.0,not out
62,Royal Challengers Bangalore,DR Smith,6,5,1,0,120.0,c TM Dilshan b HV Patel
62,Royal Challengers Bangalore,KA Pollard,52,31,5,3,167.74,not out
65,Kolkata Knight Riders,HH Gibbs,13,24,1,0,54.17,lbw b Iqbal Abdulla
65,Kolkata Knight Riders,SR Tendulkar,27,24,3,1,112.5,b SP Narine
65,Kolkata Knight Riders,KD Karthik,21,26,3,0,80.77,c YK Pathan b L Balaji
65,Kolkata Knight Riders,RG Sharma,12,14,1,0,85.71,c BB McCullum b SP Narine
65,Kolkata Knight Riders,AT Rayudu,11,8,0,1,137.5,st BB McCullum b Shakib Al Hasan
65,Kolkata Knight Riders,KA Pollard,8,5,1,0,160.0,c BB McCullum b JH Kallis
65,Kolkata Knight Riders,DR Smith,0,1,0,0,0.0,lbw b JH Kallis
65,Kolkata Knight Riders,Harbhajan Singh,1,2,0,0,50.0,c MK Tiwary b SP Narine
65,Kolkata Knight Riders,SL Malinga,8,6,0,1,133.33,c MK Tiwary b L Balaji
65,Kolkata Knight Riders,RP Singh,3,5,0,0,60.0,c Iqbal Abdulla b SP Narine
72,Rajasthan Royals,SR Tendulkar,58,51,6,0,113.73,not out
72,Rajasthan Royals,DR Smith,87,58,10,3,150.0,not out
74,Chennai Super Kings,SR Tendulkar,11,11,2,0,100.0,"run out (RA Jadeja, SB Jakati)"
74,Chennai Super Kings,DR Smith,38,22,5,2,172.73,c RA Jadeja b SB Jakati
74,Chennai Super Kings,RG Sharma,14,19,0,0,73.68,c MS Dhoni b JA Morkel
74,Chennai Super Kings,KD Karthik,6,4,1,0,150.0,c MS Dhoni b JA Morkel
74,Chennai Super Kings,JEC Franklin,13,13,0,1,100.0,c MS Dhoni b DJ Bravo
74,Chennai Super Kings,AT Rayudu,11,7,2,0,157.14,c M Vijay b R Ashwin
74,Chennai Super Kings,KA Pollard,16,19,1,1,84.21,c SK Raina b DJ Bravo
74,Chennai Super Kings,Harbhajan Singh,1,4,0,0,25.0,c SK Raina b BW Hilfenhaus
74,Chennai Super Kings,SL Malinga,17,16,1,1,106.25,b RA Jadeja
74,Chennai Super Kings,DS Kulkarni,10,5,2,0,200.0,not out
74,Chennai Super Kings,RP Singh,1,1,0,0,100.0,not out
