innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Royal Challengers Bangalore,1,CH Gayle,3,6,TM Dilshan,0,8,3,14
1,Royal Challengers Bangalore,2,V Kohli,24,14,CH Gayle,0,1,25,15
1,Royal Challengers Bangalore,3,MA Agarwal,1,5,CH Gayle,1,3,3,8
1,Royal Challengers Bangalore,4,DT Christian,4,13,CH Gayle,35,20,44,33
1,Royal Challengers Bangalore,5,KK Nair,0,3,CH Gayle,5,3,5,6
1,Royal Challengers Bangalore,6,KB Arun Karthik,19,19,CH Gayle,48,25,76,44
2,Mumbai Indians,1,RT Ponting,27,26,SR Tendulkar,23,19,52,45
2,Mumbai Indians,2,KD Karthik,6,7,RT Ponting,1,7,10,14
2,Mumbai Indians,3,RG Sharma,11,11,KD Karthik,15,12,26,23
2,Mumbai Indians,4,AT Rayudu,18,17,KD Karthik,39,18,60,34
2,Mumbai Indians,5,AT Rayudu,0,1,KA Pollard,0,0,0,1
2,Mumbai Indians,6,Harbhajan Singh,1,1,KA Pollard,5,2,6,3
