innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Chennai Super Kings,AS Rajpoot,3.0,0,25,1,8.33,7,1,0
1,Chennai Super Kings,B Laughlin,3.0,0,25,1,8.33,4,3,0
1,Chennai Super Kings,DJ Bravo,4.0,0,44,2,11.0,10,2,0
1,Chennai Super Kings,DP Nannes,4.0,0,18,1,4.5,8,0,0
1,Chennai Super Kings,R Ashwin,4.0,0,21,1,5.25,14,0,0
1,Chennai Super Kings,RA Jadeja,2.0,0,12,0,6.0,6,0,0
2,Mumbai Indians,Harbhajan Singh,4.0,0,31,2,7.75,10,0,0
2,Mumbai Indians,KA Pollard,4.0,0,40,1,10.0,8,3,0
2,Mumbai Indians,MG Johnson,4.0,0,22,1,5.5,15,2,0
2,Mumbai Indians,MM Patel,4.0,0,29,3,7.25,12,1,0
2,Mumbai Indians,PP Ojha,4.0,0,16,2,4.0,9,0,0
