innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Rajasthan Royals,SR Watson,5,10,1,0,50.0,c EJG Morgan b B Lee,1
1,Rajasthan Royals,AM Rahane,36,34,3,1,105.88,c MS Bisla b SP Narine,2
1,Rajasthan Royals,R Dravid,17,20,2,0,85.0,b R Bhatia,3
1,Rajasthan Royals,STR Binny,14,11,3,0,127.27,lbw b LR Shukla,4
1,Rajasthan Royals,BJ Hodge,46,31,7,0,148.39,not out,5
1,Rajasthan Royals,KK Cooper,0,2,0,0,0.0,st MS Bisla b SP Narine,6
1,Rajasthan Royals,DH Yagnik,16,11,1,1,145.45,"run out (Mohammed Shami, MS Bisla)",7
1,Rajasthan Royals,S Sreesanth,1,2,0,0,50.0,not out,8
2,Kolkata Knight Riders,MS Bisla,1,4,0,0,25.0,b R Shukla,1
2,Kolkata Knight Riders,G Gambhir,22,22,1,1,100.0,c DH Yagnik b SK Trivedi,2
2,Kolkata Knight Riders,JH Kallis,0,1,0,0,0.0,c DH Yagnik b R Shukla,3
2,Kolkata Knight Riders,MK Tiwary,14,13,1,0,107.69,lbw b SK Trivedi,4
2,Kolkata Knight Riders,EJG Morgan,51,38,3,3,134.21,b KK Cooper,5
2,Kolkata Knight Riders,YK Pathan,0,2,0,0,0.0,c DH Yagnik b KK Cooper,6
2,Kolkata Knight Riders,LR Shukla,2,9,0,0,22.22,c R Shukla b SK Trivedi,7
2,Kolkata Knight Riders,R Bhatia,12,7,2,0,171.43,c STR Binny b SW Tait,8
2,Kolkata Knight Riders,B Lee,5,6,1,0,83.33,c R Shukla b S Sreesanth,9
2,Kolkata Knight Riders,Mohammed Shami,5,10,0,0,50.0,c AM Rahane b KK Cooper,10
2,Kolkata Knight Riders,SP Narine,2,2,0,0,100.0,not out,11
