innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Sunrisers Hyderabad,1,1,PA Reddy,RP Singh,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,2,PA Reddy,RP Singh,PA Patel,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,3,PA Reddy,RP Singh,PA Patel,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,4,PA Reddy,RP Singh,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,5,PA Reddy,RP Singh,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,6,PA Reddy,RP Singh,PA Patel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,1,PA Reddy,R Vinay Kumar,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,2,PA Reddy,R Vinay Kumar,PA Patel,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,3,PA Reddy,R Vinay Kumar,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,4,PA Reddy,R Vinay Kumar,PA Patel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,5,PA Patel,R Vinay Kumar,PA Reddy,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,6,PA Patel,R Vinay Kumar,PA Reddy,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,1,PA Reddy,RP Singh,PA Patel,0,0,0,,0,0,0,0,0,True,caught,PA Reddy,R Vinay Kumar,powerplay
1,Sunrisers Hyderabad,3,2,KC Sangakkara,RP Singh,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,3,KC Sangakkara,RP Singh,PA Patel,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,4,KC Sangakkara,RP Singh,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,5,KC Sangakkara,RP Singh,PA Patel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,6,PA Patel,RP Singh,KC Sangakkara,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,1,KC Sangakkara,R Vinay Kumar,PA Patel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,2,PA Patel,R Vinay Kumar,KC Sangakkara,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,3,KC Sangakkara,R Vinay Kumar,PA Patel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,4,PA Patel,R Vinay Kumar,KC Sangakkara,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,5,KC Sangakkara,R Vinay Kumar,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,6,KC Sangakkara,R Vinay Kumar,PA Patel,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,5,1,PA Patel,JD Unadkat,KC Sangakkara,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,5,2,PA Patel,JD Unadkat,KC Sangakkara,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,5,3,PA Patel,JD Unadkat,KC Sangakkara,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,5,4,KC Sangakkara,JD Unadkat,PA Patel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,5,5,PA Patel,JD Unadkat,KC Sangakkara,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,5,6,KC Sangakkara,JD Unadkat,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,1,PA Patel,M Muralitharan,KC Sangakkara,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,2,KC Sangakkara,M Muralitharan,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,3,KC Sangakkara,M Muralitharan,PA Patel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,4,PA Patel,M Muralitharan,KC Sangakkara,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,5,PA Patel,M Muralitharan,KC Sangakkara,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,6,PA Patel,M Muralitharan,KC Sangakkara,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,7,1,KC Sangakkara,JD Unadkat,PA Patel,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,2,PA Patel,JD Unadkat,KC Sangakkara,0,0,0,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,3,PA Patel,JD Unadkat,KC Sangakkara,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,4,KC Sangakkara,JD Unadkat,PA Patel,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,5,PA Patel,JD Unadkat,KC Sangakkara,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,6,KC Sangakkara,JD Unadkat,PA Patel,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,1,KC Sangakkara,M Muralitharan,PA Patel,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,2,PA Patel,M Muralitharan,KC Sangakkara,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,3,KC Sangakkara,M Muralitharan,PA Patel,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,4,PA Patel,M Muralitharan,KC Sangakkara,2,0,2,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,5,PA Patel,M Muralitharan,KC Sangakkara,0,0,0,,0,0,0,0,0,True,bowled,PA Patel,,middle
