innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Rajasthan Royals,SR Watson,31,25,5,1,124.0,c KD Karthik b KA Pollard,1
1,Rajasthan Royals,AM Rahane,68,54,8,1,125.93,not out,2
1,Rajasthan Royals,DH Yagnik,34,24,4,1,141.67,c SR Tendulkar b Harbhajan Singh,3
1,Rajasthan Royals,STR Binny,4,4,0,0,100.0,"run out (MG Johnson, PP Ojha)",4
1,Rajasthan Royals,BJ Hodge,27,15,0,2,180.0,not out,5
2,Mumbai Indians,SR Tendulkar,1,3,0,0,33.33,c SK Trivedi b A Chandila,1
2,Mumbai Indians,RT Ponting,4,9,0,0,44.44,c & b A Chandila,2
2,Mumbai Indians,KD Karthik,30,32,3,0,93.75,c BJ Hodge b JP Faulkner,3
2,Mumbai Indians,RG Sharma,2,7,0,0,28.57,c SR Watson b SK Trivedi,4
2,Mumbai Indians,KA Pollard,1,7,0,0,14.29,b STR Binny,5
2,Mumbai Indians,AT Rayudu,27,29,2,0,93.1,lbw b KK Cooper,6
2,Mumbai Indians,R Dhawan,0,1,0,0,0.0,c JP Faulkner b STR Binny,7
2,Mumbai Indians,Harbhajan Singh,1,1,0,0,100.0,"run out (R Dravid, DH Yagnik)",8
2,Mumbai Indians,MG Johnson,11,9,2,0,122.22,b JP Faulkner,9
2,Mumbai Indians,SL Malinga,7,11,1,0,63.64,b JP Faulkner,10
2,Mumbai Indians,PP Ojha,1,1,0,0,100.0,not out,11
