innings,team,wicket_number,player_out,score,over
1,Kings XI Punjab,1,Mandeep Singh,15,3.5
1,Kings XI Punjab,2,AC Gilchrist,47,9.4
1,Kings XI Punjab,3,PC Valthaty,48,9.6
1,Kings XI Punjab,4,PP Chawla,88,15.1
1,Kings XI Punjab,5,DJ Hussey,104,17.3
1,Kings XI Punjab,6,Azhar Mahmood,114,18.4
1,Kings XI Punjab,7,MS Gony,115,18.5
1,Kings XI Punjab,8,M Vohra,115,18.6
1,Kings XI Punjab,9,Gurkeerat Singh,115,19.1
2,Sunrisers Hyderabad,1,Q de Kock,0,1.4
2,Sunrisers Hyderabad,2,PA Reddy,48,8.5
2,Sunrisers Hyderabad,3,GH Vihari,70,12.4
2,Sunrisers Hyderabad,4,CL White,87,16.1
2,Sunrisers Hyderabad,5,BB Samantray,97,17.1
