innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Chennai Super Kings,1,MEK Hussey,5,8,WP Saha,0,7,6,15
1,Chennai Super Kings,2,SK Raina,9,11,WP Saha,13,8,22,19
1,Chennai Super Kings,3,S Badrinath,34,31,SK Raina,39,28,75,59
1,Chennai Super Kings,4,SK Raina,15,11,MS Dhoni,45,16,61,27
2,Pune Warriors,1,RV Uthappa,9,9,AJ Finch,15,9,26,17
2,Pune Warriors,2,TL Suman,0,1,RV Uthappa,0,0,0,1
2,Pune Warriors,3,RV Uthappa,1,2,Yuvraj Singh,0,0,3,2
2,Pune Warriors,4,SPD Smith,9,5,Yuvraj Singh,5,4,14,9
2,Pune Warriors,5,LJ Wright,2,6,SPD Smith,8,10,11,16
2,Pune Warriors,6,SPD Smith,5,6,AM Nayar,2,4,7,10
2,Pune Warriors,7,SPD Smith,13,18,KW Richardson,18,13,31,31
2,Pune Warriors,8,B Kumar,17,19,KW Richardson,8,7,26,26
2,Pune Warriors,9,B Kumar,6,4,R Sharma,0,1,6,5
2,Pune Warriors,10,AB Dinda,2,2,B Kumar,1,1,3,3
