innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,SR Tendulkar,93,13.6
1,Mumbai Indians,2,DR Smith,99,14.3
1,Mumbai Indians,3,RG Sharma,130,18.1
1,Mumbai Indians,4,KA Pollard,134,18.5
1,Mumbai Indians,5,AT Rayudu,135,18.6
1,Mumbai Indians,6,Harbhajan Singh,144,19.3
2,Kolkata Knight Riders,1,G Gambhir,1,1.4
2,Kolkata Knight Riders,2,MS Bisla,38,7.1
2,Kolkata Knight Riders,3,YK Pathan,54,9.3
2,Kolkata Knight Riders,4,JH Kallis,58,10.5
2,Kolkata Knight Riders,5,EJG Morgan,77,13.2
2,Kolkata Knight Riders,6,DB Das,89,14.6
2,Kolkata Knight Riders,7,R McLaren,89,15.1
2,Kolkata Knight Riders,8,R Bhatia,97,16.6
2,Kolkata Knight Riders,9,SP Narine,104,18.4
2,Kolkata Knight Riders,10,L Balaji,105,19.2
