innings,team,wicket_number,player_out,score,over
1,Pune Warriors,1,RV Uthappa,41,6.4
1,Pune Warriors,2,AJ Finch,97,13.5
1,Pune Warriors,3,MK Pandey,162,20.3
1,Pune Warriors,4,Yuvraj Singh,170,20.6
2,Kolkata Knight Riders,1,MS Bisla,17,2.4
2,Kolkata Knight Riders,2,JH Kallis,25,4.6
2,Kolkata Knight Riders,3,G Gambhir,29,5.4
2,Kolkata Knight Riders,4,RN ten Doeschate,127,16.5
2,Kolkata Knight Riders,5,MK Tiwary,128,17.2
2,Kolkata Knight Riders,6,YK Pathan,148,18.5
2,Kolkata Knight Riders,7,R Bhatia,160,20.4
