innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Kings XI Punjab,AC Gilchrist,42,26,5,2,161.54,c & b IK Pathan,1
1,Kings XI Punjab,SE Marsh,45,44,7,0,102.27,c IK Pathan b M Morkel,2
1,Kings XI Punjab,Azhar Mahmood,9,13,1,0,69.23,c S Kaul b A Nehra,3
1,Kings XI Punjab,DA Miller,44,24,3,4,183.33,not out,4
1,Kings XI Punjab,R Sathish,22,13,2,1,169.23,c BJ Rohrer b A Nehra,5
2,Delhi Daredevils,DPMD Jayawardene,39,42,3,1,92.86,c M Vohra b Sandeep Sharma,1
2,Delhi Daredevils,UBT Chand,7,8,0,1,87.5,b P Kumar,2
2,Delhi Daredevils,IK Pathan,1,7,0,0,14.29,c AC Gilchrist b Sandeep Sharma,3
2,Delhi Daredevils,DA Warner,0,1,0,0,0.0,c SE Marsh b Sandeep Sharma,4
2,Delhi Daredevils,V Sehwag,30,22,6,0,136.36,c AC Gilchrist b P Awana,5
2,Delhi Daredevils,BJ Rohrer,49,29,4,3,168.97,b PP Chawla,6
2,Delhi Daredevils,CM Gautam,12,8,2,0,150.0,not out,7
2,Delhi Daredevils,M Morkel,13,4,0,2,325.0,c DA Miller b PP Chawla,8
