innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Pune Warriors,1,1,RV Uthappa,IK Pathan,AJ Finch,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,1,2,RV Uthappa,IK Pathan,AJ Finch,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,1,3,RV Uthappa,IK Pathan,AJ Finch,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,1,4,RV Uthappa,IK Pathan,AJ Finch,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,1,5,RV Uthappa,IK Pathan,AJ Finch,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,1,6,AJ Finch,IK Pathan,RV Uthappa,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,2,1,RV Uthappa,M Morkel,AJ Finch,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,2,2,RV Uthappa,M Morkel,AJ Finch,3,0,3,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,2,3,AJ Finch,M Morkel,RV Uthappa,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,2,4,RV Uthappa,M Morkel,AJ Finch,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,2,5,AJ Finch,M Morkel,RV Uthappa,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,2,6,AJ Finch,M Morkel,RV Uthappa,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,3,1,RV Uthappa,S Kaul,AJ Finch,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,3,2,AJ Finch,S Kaul,RV Uthappa,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,3,3,AJ Finch,S Kaul,RV Uthappa,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,3,4,RV Uthappa,S Kaul,AJ Finch,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,3,5,AJ Finch,S Kaul,RV Uthappa,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,3,6,AJ Finch,S Kaul,RV Uthappa,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,4,1,RV Uthappa,M Morkel,AJ Finch,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Pune Warriors,4,2,RV Uthappa,M Morkel,AJ Finch,1,0,1,,0,0,0,0,0,False,,,,powerplay
