innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Mumbai Indians,1,DR Smith,4,4,AP Tare,0,0,4,4
1,Mumbai Indians,2,KD Karthik,4,2,AP Tare,0,1,4,3
1,Mumbai Indians,3,RG Sharma,2,5,KD Karthik,4,8,8,13
1,Mumbai Indians,4,AT Rayudu,22,21,KD Karthik,13,16,36,37
1,Mumbai Indians,5,KA Pollard,32,19,AT Rayudu,15,15,48,34
1,Mumbai Indians,6,Harbhajan Singh,14,8,KA Pollard,10,8,25,16
1,Mumbai Indians,7,KA Pollard,5,2,R Dhawan,3,3,8,5
1,Mumbai Indians,8,KA Pollard,1,1,MG Johnson,1,2,2,3
1,Mumbai Indians,9,SL Malinga,0,2,KA Pollard,0,0,0,2
1,Mumbai Indians,10,PP Ojha,1,1,KA Pollard,12,2,13,3
2,Chennai Super Kings,1,MEK Hussey,1,2,M Vijay,1,2,2,4
2,Chennai Super Kings,2,SK Raina,0,1,M Vijay,0,0,0,1
2,Chennai Super Kings,3,S Badrinath,0,3,M Vijay,1,2,1,5
2,Chennai Super Kings,4,DJ Bravo,15,16,M Vijay,13,10,32,26
2,Chennai Super Kings,5,M Vijay,1,2,RA Jadeja,0,2,1,4
2,Chennai Super Kings,6,M Vijay,2,4,MS Dhoni,1,1,3,5
2,Chennai Super Kings,7,JA Morkel,10,10,MS Dhoni,7,11,18,21
2,Chennai Super Kings,8,MS Dhoni,1,2,CH Morris,0,1,1,3
2,Chennai Super Kings,9,R Ashwin,9,18,MS Dhoni,31,19,41,37
2,Chennai Super Kings,10,MM Sharma,0,2,MS Dhoni,23,12,26,14
