match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2013-04-04,Royal Challengers Bangalore,M Chinnaswamy Stadium,5,2,1,0,250.0,not out,6
5,2013-04-06,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",57,38,4,5,150.0,not out,6
10,2013-04-09,Delhi Daredevils,Wankhede Stadium,13,7,1,1,185.71,c S Nadeem b A Nehra,5
15,2013-04-13,Pune Warriors,Wankhede Stadium,19,14,1,1,135.71,not out,5
23,2013-04-17,Rajasthan Royals,Sawai Mansingh Stadium,1,7,0,0,14.29,b STR Binny,5
28,2013-04-21,Delhi Daredevils,Feroz Shah Kotla,19,10,1,1,190.0,not out,5
33,2013-04-24,Kolkata Knight Riders,Eden Gardens,33,24,2,1,137.5,c MK Tiwary b R Bhatia,5
37,2013-04-27,Royal Challengers Bangalore,Wankhede Stadium,34,16,2,3,212.5,c R Rampaul b R Vinay Kumar,5
41,2013-04-29,Kings XI Punjab,Wankhede Stadium,20,21,1,1,95.24,not out,5
43,2013-05-01,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",14,19,1,0,73.68,not out,5
49,2013-05-05,Chennai Super Kings,Wankhede Stadium,1,3,0,0,33.33,c SK Raina b RA Jadeja,4
53,2013-05-07,Kolkata Knight Riders,Wankhede Stadium,4,4,1,0,100.0,c SP Narine b R McLaren,5
62,2013-05-13,Sunrisers Hyderabad,Wankhede Stadium,66,27,2,8,244.44,not out,6
66,2013-05-15,Rajasthan Royals,Wankhede Stadium,17,14,1,1,121.43,run out (KK Cooper),5
69,2013-05-18,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,22,21,1,1,104.76,c DA Miller b Sandeep Sharma,6
73,2013-05-21,Chennai Super Kings,Feroz Shah Kotla,24,16,1,2,150.0,c MEK Hussey b RA Jadeja,5
75,2013-05-24,Rajasthan Royals,Eden Gardens,11,6,0,1,183.33,c KK Cooper b JP Faulkner,5
76,2013-05-26,Chennai Super Kings,Eden Gardens,60,32,7,3,187.5,not out,6
