match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2013-04-04,Royal Challengers Bangalore,M Chinnaswamy Stadium,1.0,0,15,0,15.0,2,0,0
5,2013-04-06,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,40,1,10.0,8,3,0
10,2013-04-09,Delhi Daredevils,Wankhede Stadium,4.0,0,35,2,8.75,7,2,0
15,2013-04-13,Pune Warriors,Wankhede Stadium,3.0,0,19,1,6.33,8,1,0
23,2013-04-17,Rajasthan Royals,Sawai Mansingh Stadium,2.0,0,24,1,12.0,5,2,0
28,2013-04-21,Delhi Daredevils,Feroz Shah Kotla,1.0,0,11,0,11.0,1,0,0
33,2013-04-24,Kolkata Knight Riders,Eden Gardens,2.0,0,14,0,7.0,4,0,0
37,2013-04-27,Royal Challengers Bangalore,Wankhede Stadium,2.0,0,19,0,9.5,2,0,0
41,2013-04-29,Kings XI Punjab,Wankhede Stadium,1.0,0,15,0,15.0,1,0,0
62,2013-05-13,Sunrisers Hyderabad,Wankhede Stadium,1.0,0,10,0,10.0,0,0,0
69,2013-05-18,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,2.0,0,22,1,11.0,3,0,0
73,2013-05-21,Chennai Super Kings,Feroz Shah Kotla,3.0,0,28,1,9.33,5,0,0
75,2013-05-24,Rajasthan Royals,Eden Gardens,1.0,0,6,2,6.0,3,0,0
76,2013-05-26,Chennai Super Kings,Eden Gardens,4.0,0,34,1,8.5,11,3,0
