match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
6,2013-04-07,Pune Warriors,Subrata Roy Sahara Stadium,43,28,7,0,153.57,not out,3
11,2013-04-10,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",16,11,3,0,145.45,c MEK Hussey b RA Jadeja,3
18,2013-04-14,Rajasthan Royals,Sawai Mansingh Stadium,3,6,0,0,50.0,run out (JP Faulkner),3
20,2013-04-16,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",17,16,2,0,106.25,c & b L Balaji,3
25,2013-04-19,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,1,0,0,0.0,c I Sharma b A Mishra,9
29,2013-04-21,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",22,13,3,0,169.23,b Yuvraj Singh,4
32,2013-04-23,Delhi Daredevils,Feroz Shah Kotla,8,11,1,0,72.73,c & b J Botha,5
35,2013-04-26,Kolkata Knight Riders,Eden Gardens,31,21,3,1,147.62,c DB Das b L Balaji,3
41,2013-04-29,Mumbai Indians,Wankhede Stadium,1,2,0,0,50.0,c KA Pollard b MG Johnson,3
69,2013-05-18,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,20,8,3,1,250.0,not out,6
