innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Royal Challengers Bangalore,AB Dinda,4.0,0,14,1,3.5,12,0,0
1,Royal Challengers Bangalore,JA Morkel,3.0,0,23,1,7.67,9,1,1
1,Royal Challengers Bangalore,MA Starc,4.0,0,21,2,5.25,11,0,0
1,Royal Challengers Bangalore,VR Aaron,4.0,0,30,2,7.5,6,1,0
1,Royal Challengers Bangalore,YS Chahal,4.0,0,17,2,4.25,9,0,0
1,Royal Challengers Bangalore,Yuvraj Singh,1.0,0,6,0,6.0,1,1,0
2,Mumbai Indians,Harbhajan Singh,4.0,0,14,0,3.5,12,0,0
2,Mumbai Indians,JJ Bumrah,2.0,0,14,0,7.0,4,0,0
2,Mumbai Indians,PP Ojha,4.0,0,37,0,9.25,5,0,0
2,Mumbai Indians,SL Malinga,3.3,0,29,1,8.29,9,0,0
2,Mumbai Indians,Z Khan,4.0,0,21,2,5.25,12,1,0
