innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Mumbai Indians,1,MEK Hussey,16,15,AP Tare,2,9,20,23
1,Mumbai Indians,2,AT Rayudu,10,9,AP Tare,15,9,32,18
1,Mumbai Indians,3,AT Rayudu,6,9,RG Sharma,2,5,8,14
1,Mumbai Indians,4,KA Pollard,3,7,AT Rayudu,7,6,10,13
1,Mumbai Indians,5,CJ Anderson,18,18,AT Rayudu,12,13,31,31
1,Mumbai Indians,6,CJ Anderson,0,1,Harbhajan Singh,0,0,0,1
1,Mumbai Indians,7,Harbhajan Singh,0,2,Z Khan,0,2,0,4
1,Mumbai Indians,8,Harbhajan Singh,8,6,SL Malinga,1,3,9,9
1,Mumbai Indians,9,PP Ojha,1,4,SL Malinga,1,1,3,5
1,Mumbai Indians,10,JJ Bumrah,1,1,PP Ojha,0,1,2,2
2,Royal Challengers Bangalore,1,NJ Maddinson,12,8,PA Patel,4,10,16,18
2,Royal Challengers Bangalore,2,PA Patel,1,1,V Kohli,0,2,1,3
2,Royal Challengers Bangalore,3,Yuvraj Singh,0,2,PA Patel,0,0,0,2
2,Royal Challengers Bangalore,4,AB de Villiers,45,48,PA Patel,52,34,99,82
