innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Chennai Super Kings,1,1.wides,DR Smith,JP Duminy,BB McCullum,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,1,1,DR Smith,JP Duminy,BB McCullum,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,1,2,BB McCullum,JP Duminy,DR Smith,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,1,3,DR Smith,JP Duminy,BB McCullum,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,1,4,BB McCullum,JP Duminy,DR Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,1,5,BB McCullum,JP Duminy,DR Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,1,6,BB McCullum,JP Duminy,DR Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,1,DR Smith,Mohammed Shami,BB McCullum,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,2,DR Smith,Mohammed Shami,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,3,DR Smith,Mohammed Shami,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,4,DR Smith,Mohammed Shami,BB McCullum,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,5,DR Smith,Mohammed Shami,BB McCullum,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,6,DR Smith,Mohammed Shami,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,3,1,BB McCullum,S Nadeem,DR Smith,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,3,2,DR Smith,S Nadeem,BB McCullum,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,3,3,BB McCullum,S Nadeem,DR Smith,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,3,4,BB McCullum,S Nadeem,DR Smith,4,0,4,,0,0,0,0,0,False,,,,powerplay
