innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Kolkata Knight Riders,JH Kallis,43,42,2,1,102.38,c YV Takawale b YS Chahal,1
1,Kolkata Knight Riders,G Gambhir,0,1,0,0,0.0,lbw b MA Starc,2
1,Kolkata Knight Riders,MK Pandey,5,3,1,0,166.67,c V Kohli b JA Morkel,3
1,Kolkata Knight Riders,CA Lynn,45,31,3,3,145.16,c AB de Villiers b VR Aaron,4
1,Kolkata Knight Riders,YK Pathan,0,2,0,0,0.0,c V Kohli b VR Aaron,5
1,Kolkata Knight Riders,RV Uthappa,22,18,0,1,122.22,c MA Starc b VR Aaron,6
1,Kolkata Knight Riders,SA Yadav,24,18,1,1,133.33,not out,7
1,Kolkata Knight Riders,R Vinay Kumar,4,5,0,0,80.0,c JA Morkel b MA Starc,8
2,Royal Challengers Bangalore,PA Patel,21,19,3,0,110.53,c CA Lynn b R Vinay Kumar,1
2,Royal Challengers Bangalore,YV Takawale,40,28,8,0,142.86,lbw b JH Kallis,2
2,Royal Challengers Bangalore,V Kohli,31,23,4,0,134.78,b SP Narine,3
2,Royal Challengers Bangalore,Yuvraj Singh,31,34,2,1,91.18,c YK Pathan b UT Yadav,4
2,Royal Challengers Bangalore,AB de Villiers,11,12,1,0,91.67,c CA Lynn b R Vinay Kumar,5
2,Royal Challengers Bangalore,JA Morkel,6,5,0,0,120.0,not out,6
