innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kolkata Knight Riders,JH Kallis,1.0,0,4,0,4.0,3,0,0
1,Kolkata Knight Riders,M Morkel,4.0,0,40,1,10.0,10,3,0
1,Kolkata Knight Riders,PP Chawla,3.0,0,27,0,9.0,6,0,0
1,Kolkata Knight Riders,R Vinay Kumar,4.0,0,30,2,7.5,9,0,0
1,Kolkata Knight Riders,SP Narine,4.0,0,28,0,7.0,9,0,0
1,Kolkata Knight Riders,Shakib Al Hasan,4.0,0,23,1,5.75,8,0,0
2,Rajasthan Royals,Iqbal Abdulla,2.0,0,17,0,8.5,2,0,0
2,Rajasthan Royals,JP Faulkner,2.0,0,11,3,5.5,7,2,0
2,Rajasthan Royals,KW Richardson,4.0,0,28,1,7.0,11,1,0
2,Rajasthan Royals,PV Tambe,4.0,0,31,2,7.75,7,1,0
2,Rajasthan Royals,R Bhatia,4.0,0,29,1,7.25,6,1,0
2,Rajasthan Royals,SR Watson,3.0,0,26,0,8.67,6,0,2
2,Rajasthan Royals,STR Binny,1.0,0,7,0,7.0,1,0,0
