innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Delhi Daredevils,Q de Kock,42,33,5,1,127.27,c & b PV Tambe,1
1,Delhi Daredevils,M Vijay,13,11,1,0,118.18,c SR Watson b JP Faulkner,2
1,Delhi Daredevils,KP Pietersen,14,15,2,0,93.33,c SPD Smith b PV Tambe,3
1,Delhi Daredevils,KD Karthik,12,16,0,0,75.0,c STR Binny b JP Faulkner,4
1,Delhi Daredevils,JP Duminy,39,31,4,1,125.81,c R Bhatia b KW Richardson,5
1,Delhi Daredevils,KM Jadhav,28,14,2,2,200.0,not out,6
2,Rajasthan Royals,AM Rahane,12,10,2,0,120.0,c M Vijay b WD Parnell,1
2,Rajasthan Royals,KK Nair,73,50,8,2,146.0,not out,2
2,Rajasthan Royals,SV Samson,34,28,2,2,121.43,st KD Karthik b S Nadeem,3
2,Rajasthan Royals,R Bhatia,17,13,0,1,130.77,b Mohammed Shami,4
2,Rajasthan Royals,SR Watson,16,10,0,2,160.0,not out,5
