innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Royal Challengers Bangalore,HV Patel,3.0,0,56,2,18.67,3,4,0
1,Royal Challengers Bangalore,JA Morkel,4.0,0,20,1,5.0,12,0,0
1,Royal Challengers Bangalore,MA Starc,4.0,0,43,2,10.75,9,4,1
1,Royal Challengers Bangalore,VR Aaron,4.0,0,35,1,8.75,8,1,0
1,Royal Challengers Bangalore,YS Chahal,4.0,0,23,2,5.75,7,0,0
1,Royal Challengers Bangalore,Yuvraj Singh,1.0,0,19,0,19.0,1,1,0
2,Kings XI Punjab,AR Patel,4.0,0,22,1,5.5,7,0,0
2,Kings XI Punjab,GJ Maxwell,1.0,0,24,0,24.0,0,2,0
2,Kings XI Punjab,L Balaji,3.0,0,43,2,14.33,6,1,1
2,Kings XI Punjab,MG Johnson,4.0,0,25,1,6.25,12,0,0
2,Kings XI Punjab,Sandeep Sharma,4.0,0,25,3,6.25,15,0,0
2,Kings XI Punjab,Shivam Sharma,4.0,0,26,2,6.5,12,0,0
