innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Delhi Daredevils,Q de Kock,7,12,0,0,58.33,c KL Rahul b DW Steyn,1
1,Delhi Daredevils,KP Pietersen,35,19,4,2,184.21,c S Dhawan b A Mishra,2
1,Delhi Daredevils,MA Agarwal,25,18,4,0,138.89,c DA Warner b A Mishra,3
1,Delhi Daredevils,KD Karthik,39,30,1,2,130.0,c DW Steyn b MC Henriques,4
1,Delhi Daredevils,LR Shukla,21,22,1,1,95.45,c DA Warner b MC Henriques,5
1,Delhi Daredevils,JP Duminy,4,5,0,0,80.0,b B Kumar,6
1,Delhi Daredevils,KM Jadhav,5,11,0,0,45.45,c IK Pathan b DW Steyn,7
1,Delhi Daredevils,R Shukla,2,3,0,0,66.67,not out,8
2,Sunrisers Hyderabad,AJ Finch,4,7,0,0,57.14,b R Shukla,1
2,Sunrisers Hyderabad,S Dhawan,4,8,1,0,50.0,c JP Duminy b S Kaul,2
2,Sunrisers Hyderabad,DA Warner,12,9,1,0,133.33,not out,3
2,Sunrisers Hyderabad,NV Ojha,13,3,0,2,433.33,not out,4
