innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Kings XI Punjab,1,1,V Sehwag,JH Kallis,Mandeep Singh,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,2,V Sehwag,JH Kallis,Mandeep Singh,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,3.wides,V Sehwag,JH Kallis,Mandeep Singh,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,3,V Sehwag,JH Kallis,Mandeep Singh,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,4,V Sehwag,JH Kallis,Mandeep Singh,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,5,V Sehwag,JH Kallis,Mandeep Singh,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,6,V Sehwag,JH Kallis,Mandeep Singh,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,1,Mandeep Singh,M Morkel,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,2,Mandeep Singh,M Morkel,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,3,Mandeep Singh,M Morkel,V Sehwag,0,0,0,,0,0,0,0,0,True,caught,Mandeep Singh,RV Uthappa,powerplay
1,Kings XI Punjab,2,4,WP Saha,M Morkel,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,5,WP Saha,M Morkel,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,6,WP Saha,M Morkel,V Sehwag,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,1,V Sehwag,UT Yadav,WP Saha,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,2,V Sehwag,UT Yadav,WP Saha,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,3,V Sehwag,UT Yadav,WP Saha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,4,V Sehwag,UT Yadav,WP Saha,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,5,WP Saha,UT Yadav,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,6,V Sehwag,UT Yadav,WP Saha,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Kings XI Punjab,4,1,V Sehwag,M Morkel,WP Saha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,4,2,V Sehwag,M Morkel,WP Saha,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,4,3,V Sehwag,M Morkel,WP Saha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,4,4,V Sehwag,M Morkel,WP Saha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,4,5,V Sehwag,M Morkel,WP Saha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,4,6,V Sehwag,M Morkel,WP Saha,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,1,V Sehwag,UT Yadav,WP Saha,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,2,WP Saha,UT Yadav,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,3.wides,V Sehwag,UT Yadav,WP Saha,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,3,V Sehwag,UT Yadav,WP Saha,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,4,WP Saha,UT Yadav,V Sehwag,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,5,WP Saha,UT Yadav,V Sehwag,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,6,WP Saha,UT Yadav,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,6,1,WP Saha,M Morkel,V Sehwag,0,0,0,,0,0,0,0,0,True,bowled,WP Saha,,powerplay
1,Kings XI Punjab,6,2,GJ Maxwell,M Morkel,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,6,3,GJ Maxwell,M Morkel,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,6,4,V Sehwag,M Morkel,GJ Maxwell,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,6,5,V Sehwag,M Morkel,GJ Maxwell,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,6,6,V Sehwag,M Morkel,GJ Maxwell,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,7,1,GJ Maxwell,SP Narine,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,7,2,V Sehwag,SP Narine,GJ Maxwell,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,7,3,GJ Maxwell,SP Narine,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,7,4,V Sehwag,SP Narine,GJ Maxwell,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,7,5,GJ Maxwell,SP Narine,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,7,6,GJ Maxwell,SP Narine,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,8,1,V Sehwag,JH Kallis,GJ Maxwell,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,8,2,V Sehwag,JH Kallis,GJ Maxwell,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,8,3,GJ Maxwell,JH Kallis,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,8,4,V Sehwag,JH Kallis,GJ Maxwell,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,8,5,V Sehwag,JH Kallis,GJ Maxwell,6,0,6,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,8,6,V Sehwag,JH Kallis,GJ Maxwell,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,9,1,V Sehwag,SP Narine,GJ Maxwell,4,0,4,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,9,2,V Sehwag,SP Narine,GJ Maxwell,2,0,2,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,9,3,V Sehwag,SP Narine,GJ Maxwell,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,9,4,GJ Maxwell,SP Narine,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,9,5,V Sehwag,SP Narine,GJ Maxwell,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,9,6,GJ Maxwell,SP Narine,V Sehwag,2,0,2,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,10,1,V Sehwag,JH Kallis,GJ Maxwell,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,10,2,GJ Maxwell,JH Kallis,V Sehwag,4,0,4,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,10,3,GJ Maxwell,JH Kallis,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,10,4,V Sehwag,JH Kallis,GJ Maxwell,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,10,5,GJ Maxwell,JH Kallis,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,10,6,V Sehwag,JH Kallis,GJ Maxwell,4,0,4,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,11,1,GJ Maxwell,PP Chawla,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,11,2,V Sehwag,PP Chawla,GJ Maxwell,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,11,3,GJ Maxwell,PP Chawla,V Sehwag,0,0,0,,0,0,0,0,0,True,caught,GJ Maxwell,M Morkel,middle
1,Kings XI Punjab,11,4,DA Miller,PP Chawla,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,11,5,V Sehwag,PP Chawla,DA Miller,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,11,6,DA Miller,PP Chawla,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,12,1,DA Miller,RN ten Doeschate,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,12,2,DA Miller,RN ten Doeschate,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,12,3,V Sehwag,RN ten Doeschate,DA Miller,4,0,4,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,12,4,V Sehwag,RN ten Doeschate,DA Miller,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,12,5,V Sehwag,RN ten Doeschate,DA Miller,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,12,6,V Sehwag,RN ten Doeschate,DA Miller,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,13,1,V Sehwag,PP Chawla,DA Miller,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,13,2,DA Miller,PP Chawla,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,13,3,DA Miller,PP Chawla,V Sehwag,2,0,2,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,13,4,DA Miller,PP Chawla,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,13,5,V Sehwag,PP Chawla,DA Miller,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,13,6,DA Miller,PP Chawla,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,14,1,DA Miller,M Morkel,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,14,2,DA Miller,M Morkel,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,14,3,V Sehwag,M Morkel,DA Miller,4,0,4,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,14,4,V Sehwag,M Morkel,DA Miller,4,0,4,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,14,5,V Sehwag,M Morkel,DA Miller,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,14,6,DA Miller,M Morkel,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,15,1,V Sehwag,PP Chawla,DA Miller,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,15,2,V Sehwag,PP Chawla,DA Miller,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,15,3,V Sehwag,PP Chawla,DA Miller,0,0,0,,0,0,0,0,0,True,bowled,V Sehwag,,middle
1,Kings XI Punjab,15,4,GJ Bailey,PP Chawla,DA Miller,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,15,5,DA Miller,PP Chawla,GJ Bailey,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,15,6,GJ Bailey,PP Chawla,DA Miller,2,0,2,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,16,1,DA Miller,UT Yadav,GJ Bailey,4,0,4,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,16,2,DA Miller,UT Yadav,GJ Bailey,0,0,0,,0,0,0,0,0,True,bowled,DA Miller,,death
1,Kings XI Punjab,16,3,R Dhawan,UT Yadav,GJ Bailey,1,0,1,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,16,4,GJ Bailey,UT Yadav,R Dhawan,1,0,1,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,16,5,R Dhawan,UT Yadav,GJ Bailey,0,0,0,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,16,6,R Dhawan,UT Yadav,GJ Bailey,1,0,1,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,17,1,R Dhawan,PP Chawla,GJ Bailey,1,0,1,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,17,2,GJ Bailey,PP Chawla,R Dhawan,0,0,0,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,17,3,GJ Bailey,PP Chawla,R Dhawan,1,0,1,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,17,4,R Dhawan,PP Chawla,GJ Bailey,1,0,1,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,17,5,GJ Bailey,PP Chawla,R Dhawan,1,0,1,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,17,6,R Dhawan,PP Chawla,GJ Bailey,0,0,0,,0,0,0,0,0,True,bowled,R Dhawan,,death
1,Kings XI Punjab,18,1,GJ Bailey,SP Narine,MG Johnson,2,0,2,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,18,2,GJ Bailey,SP Narine,MG Johnson,0,0,0,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,18,3,GJ Bailey,SP Narine,MG Johnson,1,0,1,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,18,4,MG Johnson,SP Narine,GJ Bailey,0,0,0,,0,0,0,0,0,False,,,,death
1,Kings XI Punjab,18,5,MG Johnson,SP Narine,GJ Bailey,0,0,0,,0,0,0,0,0,False,,,,death
