innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Delhi Daredevils,Imran Tahir,4.0,0,48,0,12.0,5,0,0
1,Delhi Daredevils,JP Duminy,4.0,0,25,0,6.25,10,0,0
1,Delhi Daredevils,Mohammed Shami,4.0,0,31,1,7.75,10,1,0
1,Delhi Daredevils,R Shukla,4.0,0,41,1,10.25,9,1,2
1,Delhi Daredevils,S Kaul,4.0,0,37,1,9.25,11,1,0
2,Royal Challengers Bangalore,AN Ahmed,4.0,0,40,1,10.0,5,1,2
2,Royal Challengers Bangalore,M Muralitharan,4.0,0,25,2,6.25,8,0,0
2,Royal Challengers Bangalore,MA Starc,4.0,0,26,2,6.5,10,1,0
2,Royal Challengers Bangalore,YS Chahal,4.0,0,45,1,11.25,7,0,0
2,Royal Challengers Bangalore,Yuvraj Singh,4.0,0,28,0,7.0,7,0,0
