innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Delhi Daredevils,A Mishra,4.0,0,21,1,5.25,10,0,0
1,Delhi Daredevils,DJ Muthuswami,3.0,0,18,1,6.0,9,0,0
1,Delhi Daredevils,Imran Tahir,4.0,0,27,1,6.75,8,0,0
1,Delhi Daredevils,JA Morkel,3.0,0,28,0,9.33,6,1,0
1,Delhi Daredevils,JP Duminy,2.0,0,15,1,7.5,4,1,0
1,Delhi Daredevils,NM Coulter-Nile,4.0,0,30,3,7.5,11,0,1
2,Chennai Super Kings,A Nehra,4.0,0,25,3,6.25,12,1,0
2,Chennai Super Kings,DJ Bravo,4.0,0,36,2,9.0,6,2,0
2,Chennai Super Kings,IC Pandey,4.0,0,30,1,7.5,9,0,0
2,Chennai Super Kings,MM Sharma,4.0,0,33,1,8.25,8,1,0
2,Chennai Super Kings,R Ashwin,4.0,0,25,1,6.25,8,1,0
