innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Delhi Daredevils,1,MA Agarwal,37,21,SS Iyer,7,7,45,28
1,Delhi Daredevils,2,JP Duminy,12,15,SS Iyer,33,23,48,38
1,Delhi Daredevils,3,Yuvraj Singh,27,17,JP Duminy,15,16,45,33
1,Delhi Daredevils,4,JP Duminy,17,7,AD Mathews,27,14,46,21
2,Rajasthan Royals,1,AM Rahane,26,18,SV Samson,11,12,37,30
2,Rajasthan Royals,2,AM Rahane,3,5,SPD Smith,10,9,13,14
2,Rajasthan Royals,3,KK Nair,20,12,AM Rahane,3,4,24,16
2,Rajasthan Royals,4,AM Rahane,2,2,STR Binny,1,2,4,4
2,Rajasthan Royals,5,DJ Hooda,37,17,AM Rahane,13,10,52,27
2,Rajasthan Royals,6,JP Faulkner,17,10,DJ Hooda,17,8,36,18
2,Rajasthan Royals,7,CH Morris,7,3,JP Faulkner,0,1,7,4
2,Rajasthan Royals,8,TG Southee,7,4,CH Morris,6,3,13,7
