innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bangalore,1,CH Gayle,43,6.3
1,Royal Challengers Bangalore,2,KD Karthik,77,11.1
1,Royal Challengers Bangalore,3,V Kohli,93,12.5
1,Royal Challengers Bangalore,4,Mandeep Singh,93,12.6
1,Royal Challengers Bangalore,5,DJG Sammy,125,16.6
1,Royal Challengers Bangalore,6,AB de Villiers,152,19.2
1,Royal Challengers Bangalore,7,SA Abbott,152,19.3
1,Royal Challengers Bangalore,8,HV Patel,155,19.5
1,Royal Challengers Bangalore,9,VR Aaron,165,20.3
1,Royal Challengers Bangalore,10,AN Ahmed,166,20.5
2,Sunrisers Hyderabad,1,DA Warner,82,8.5
2,Sunrisers Hyderabad,2,KS Williamson,94,10.5
