innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Delhi Daredevils,1,1,MA Agarwal,P Kumar,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,2,SS Iyer,P Kumar,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,3,SS Iyer,P Kumar,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,4,SS Iyer,P Kumar,MA Agarwal,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,5.wides,SS Iyer,P Kumar,MA Agarwal,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,5,SS Iyer,P Kumar,MA Agarwal,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,6,MA Agarwal,P Kumar,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,1,SS Iyer,DW Steyn,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,2,SS Iyer,DW Steyn,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,3,SS Iyer,DW Steyn,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,4,SS Iyer,DW Steyn,MA Agarwal,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,5,SS Iyer,DW Steyn,MA Agarwal,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,6,SS Iyer,DW Steyn,MA Agarwal,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,1,MA Agarwal,B Kumar,SS Iyer,0,0,0,,0,0,0,0,0,True,caught,MA Agarwal,S Dhawan,powerplay
1,Delhi Daredevils,3,2,JP Duminy,B Kumar,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,3,JP Duminy,B Kumar,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,4.wides,JP Duminy,B Kumar,SS Iyer,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,4,JP Duminy,B Kumar,SS Iyer,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,5,JP Duminy,B Kumar,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,6,JP Duminy,B Kumar,SS Iyer,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,1,SS Iyer,DW Steyn,JP Duminy,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,2,SS Iyer,DW Steyn,JP Duminy,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,3,JP Duminy,DW Steyn,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,4,JP Duminy,DW Steyn,SS Iyer,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,5,JP Duminy,DW Steyn,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,6,JP Duminy,DW Steyn,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,1,JP Duminy,B Kumar,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,2,JP Duminy,B Kumar,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,3,JP Duminy,B Kumar,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,4,JP Duminy,B Kumar,SS Iyer,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Delhi Daredevils,5,5,SS Iyer,B Kumar,JP Duminy,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,6,SS Iyer,B Kumar,JP Duminy,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,1.wides,SS Iyer,P Kumar,JP Duminy,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,1,SS Iyer,P Kumar,JP Duminy,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,2,SS Iyer,P Kumar,JP Duminy,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,3,SS Iyer,P Kumar,JP Duminy,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,4,SS Iyer,P Kumar,JP Duminy,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,5,SS Iyer,P Kumar,JP Duminy,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,6,SS Iyer,P Kumar,JP Duminy,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,7,1,SS Iyer,RS Bopara,JP Duminy,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,2,JP Duminy,RS Bopara,SS Iyer,2,0,2,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,3,JP Duminy,RS Bopara,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,4,SS Iyer,RS Bopara,JP Duminy,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,5,JP Duminy,RS Bopara,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,6,SS Iyer,RS Bopara,JP Duminy,0,0,0,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,1,JP Duminy,KV Sharma,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,2,SS Iyer,KV Sharma,JP Duminy,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,3,JP Duminy,KV Sharma,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,4,SS Iyer,KV Sharma,JP Duminy,6,0,6,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,5,SS Iyer,KV Sharma,JP Duminy,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,6,JP Duminy,KV Sharma,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,1,JP Duminy,RS Bopara,SS Iyer,4,0,4,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,2,JP Duminy,RS Bopara,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,3,SS Iyer,RS Bopara,JP Duminy,0,0,0,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,4,SS Iyer,RS Bopara,JP Duminy,1,0,1,,0,0,0,0,0,False,,,,middle
