innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Mumbai Indians,1,1,LMP Simmons,TA Boult,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,2,LMP Simmons,TA Boult,PA Patel,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,3,LMP Simmons,TA Boult,PA Patel,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,4.wides,LMP Simmons,TA Boult,PA Patel,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,4,LMP Simmons,TA Boult,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,5,LMP Simmons,TA Boult,PA Patel,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,6,LMP Simmons,TA Boult,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,1,PA Patel,B Kumar,LMP Simmons,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,2,PA Patel,B Kumar,LMP Simmons,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,3,PA Patel,B Kumar,LMP Simmons,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,4,PA Patel,B Kumar,LMP Simmons,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,5.wides,PA Patel,B Kumar,LMP Simmons,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,5,PA Patel,B Kumar,LMP Simmons,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,6.wides,PA Patel,B Kumar,LMP Simmons,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,6.wides,PA Patel,B Kumar,LMP Simmons,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,6,PA Patel,B Kumar,LMP Simmons,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,1,PA Patel,TA Boult,LMP Simmons,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,2,LMP Simmons,TA Boult,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,3,LMP Simmons,TA Boult,PA Patel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,4,PA Patel,TA Boult,LMP Simmons,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,5,LMP Simmons,TA Boult,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,6,LMP Simmons,TA Boult,PA Patel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,1,LMP Simmons,DW Steyn,PA Patel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,2,PA Patel,DW Steyn,LMP Simmons,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,3,PA Patel,DW Steyn,LMP Simmons,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,4,LMP Simmons,DW Steyn,PA Patel,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,5,LMP Simmons,DW Steyn,PA Patel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,6,PA Patel,DW Steyn,LMP Simmons,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,1,LMP Simmons,B Kumar,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,2,LMP Simmons,B Kumar,PA Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
