innings,team,wicket_number,player_out,score,over
1,Chennai Super Kings,1,DR Smith,50,5.4
1,Chennai Super Kings,2,BB McCullum,116,13.1
1,Chennai Super Kings,3,SK Raina,144,16.2
2,Kings XI Punjab,1,V Sehwag,4,1.5
2,Kings XI Punjab,2,SE Marsh,35,6.1
2,Kings XI Punjab,3,GJ Bailey,40,7.3
2,Kings XI Punjab,4,DA Miller,55,9.6
2,Kings XI Punjab,5,M Vijay,55,10.2
2,Kings XI Punjab,6,AR Patel,66,12.4
2,Kings XI Punjab,7,MG Johnson,69,13.2
2,Kings XI Punjab,8,WP Saha,90,18.4
2,Kings XI Punjab,9,Anureet Singh,94,20.1
