innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Delhi Daredevils,1,MA Agarwal,0,1,SS Iyer,0,0,0,1
1,Delhi Daredevils,2,JP Duminy,23,12,SS Iyer,19,18,43,30
1,Delhi Daredevils,3,JP Duminy,5,7,KM Jadhav,1,2,7,9
1,Delhi Daredevils,4,Yuvraj Singh,13,15,KM Jadhav,15,13,28,28
1,Delhi Daredevils,5,AD Mathews,12,10,Yuvraj Singh,12,16,24,26
1,Delhi Daredevils,6,Yuvraj Singh,32,13,SS Tiwary,7,7,41,20
1,Delhi Daredevils,7,SS Tiwary,6,4,NM Coulter-Nile,3,2,9,6
2,Mumbai Indians,1,LMP Simmons,0,1,PA Patel,0,0,1,1
2,Mumbai Indians,2,HH Pandya,5,8,PA Patel,0,2,7,10
2,Mumbai Indians,3,PA Patel,13,11,RG Sharma,8,4,21,15
2,Mumbai Indians,4,Harbhajan Singh,5,4,RG Sharma,6,2,11,6
2,Mumbai Indians,5,AT Rayudu,24,29,RG Sharma,32,31,60,60
2,Mumbai Indians,6,KA Pollard,26,14,AT Rayudu,25,11,53,25
