innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Royal Challengers Bangalore,CH Gayle,117,57,7,12,205.26,c & b AR Patel,1
1,Royal Challengers Bangalore,V Kohli,32,30,3,1,106.67,b Sandeep Sharma,2
1,Royal Challengers Bangalore,AB de Villiers,47,24,3,4,195.83,not out,3
1,Royal Challengers Bangalore,KD Karthik,8,3,0,1,266.67,b Sandeep Sharma,4
1,Royal Challengers Bangalore,SN Khan,11,7,1,0,157.14,not out,5
2,Kings XI Punjab,M Vijay,2,6,0,0,33.33,b HV Patel,1
2,Kings XI Punjab,M Vohra,2,3,0,0,66.67,c D Wiese b MA Starc,2
2,Kings XI Punjab,WP Saha,13,11,1,1,118.18,c V Kohli b S Aravind,3
2,Kings XI Punjab,GJ Maxwell,1,5,0,0,20.0,b S Aravind,4
2,Kings XI Punjab,DA Miller,7,10,1,0,70.0,b S Aravind,5
2,Kings XI Punjab,GJ Bailey,2,4,0,0,50.0,b S Aravind,6
2,Kings XI Punjab,AR Patel,40,21,5,2,190.48,not out,7
2,Kings XI Punjab,MG Johnson,1,4,0,0,25.0,b MA Starc,8
2,Kings XI Punjab,Anureet Singh,0,2,0,0,0.0,b MA Starc,9
2,Kings XI Punjab,Karanveer Singh,4,7,0,0,57.14,b MA Starc,10
2,Kings XI Punjab,Sandeep Sharma,7,9,1,0,77.78,c & b YS Chahal,11
