innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Sunrisers Hyderabad,1,1,S Dhawan,DJ Hooda,DA Warner,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,2,S Dhawan,DJ Hooda,DA Warner,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,3,S Dhawan,DJ Hooda,DA Warner,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,4,DA Warner,DJ Hooda,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,5,DA Warner,DJ Hooda,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,6,DA Warner,DJ Hooda,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,1,S Dhawan,CH Morris,DA Warner,0,4,4,legbyes,0,0,0,4,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,2,S Dhawan,CH Morris,DA Warner,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,3,DA Warner,CH Morris,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,4,DA Warner,CH Morris,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,5,DA Warner,CH Morris,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,6,DA Warner,CH Morris,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,1,S Dhawan,DS Kulkarni,DA Warner,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,2,S Dhawan,DS Kulkarni,DA Warner,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,3,S Dhawan,DS Kulkarni,DA Warner,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,4,DA Warner,DS Kulkarni,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,5,DA Warner,DS Kulkarni,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,6,S Dhawan,DS Kulkarni,DA Warner,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,1,DA Warner,CH Morris,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,2,DA Warner,CH Morris,S Dhawan,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,3,DA Warner,CH Morris,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,4,DA Warner,CH Morris,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,5,DA Warner,CH Morris,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,6.wides,DA Warner,CH Morris,S Dhawan,0,5,5,wides,5,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,4,6,DA Warner,CH Morris,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,5,1,DA Warner,SR Watson,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,5,2,DA Warner,SR Watson,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,5,3,DA Warner,SR Watson,S Dhawan,0,0,0,,0,0,0,0,0,True,caught,DA Warner,SV Samson,powerplay
1,Sunrisers Hyderabad,5,4,MC Henriques,SR Watson,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,5,5,MC Henriques,SR Watson,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,5,6,MC Henriques,SR Watson,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,1,MC Henriques,JP Faulkner,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,2,MC Henriques,JP Faulkner,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,3,S Dhawan,JP Faulkner,MC Henriques,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,4,S Dhawan,JP Faulkner,MC Henriques,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,5,S Dhawan,JP Faulkner,MC Henriques,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,6,6,S Dhawan,JP Faulkner,MC Henriques,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,7,1,MC Henriques,PV Tambe,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,2,MC Henriques,PV Tambe,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,3,MC Henriques,PV Tambe,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,4,MC Henriques,PV Tambe,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,5,MC Henriques,PV Tambe,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,6,S Dhawan,PV Tambe,MC Henriques,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,1,S Dhawan,DS Kulkarni,MC Henriques,0,0,0,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,2,S Dhawan,DS Kulkarni,MC Henriques,4,0,4,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,3.wides,S Dhawan,DS Kulkarni,MC Henriques,0,1,1,wides,1,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,3,S Dhawan,DS Kulkarni,MC Henriques,0,0,0,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,4,S Dhawan,DS Kulkarni,MC Henriques,0,0,0,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,5,S Dhawan,DS Kulkarni,MC Henriques,4,0,4,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,6,S Dhawan,DS Kulkarni,MC Henriques,0,0,0,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,1,MC Henriques,PV Tambe,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,2,MC Henriques,PV Tambe,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,3,MC Henriques,PV Tambe,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,4,S Dhawan,PV Tambe,MC Henriques,6,0,6,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,5,S Dhawan,PV Tambe,MC Henriques,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,6,MC Henriques,PV Tambe,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,10,1,MC Henriques,JP Faulkner,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,10,2,MC Henriques,JP Faulkner,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,10,3,S Dhawan,JP Faulkner,MC Henriques,1,0,1,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,10,4,MC Henriques,JP Faulkner,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,10,5,MC Henriques,JP Faulkner,S Dhawan,2,0,2,,0,0,0,0,0,False,,,,middle
