innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Sunrisers Hyderabad,S Dhawan,13,10,2,0,130.0,c JA Morkel b Z Khan,1
1,Sunrisers Hyderabad,DA Warner,17,15,1,1,113.33,c SS Tiwary b NM Coulter-Nile,2
1,Sunrisers Hyderabad,MC Henriques,74,46,1,5,160.87,not out,3
1,Sunrisers Hyderabad,EJG Morgan,22,25,2,0,88.0,c NM Coulter-Nile b J Yadav,4
1,Sunrisers Hyderabad,KV Sharma,16,13,2,0,123.08,c J Yadav b NM Coulter-Nile,5
1,Sunrisers Hyderabad,RS Bopara,17,11,1,0,154.55,not out,6
2,Delhi Daredevils,Q de Kock,50,31,9,1,161.29,st NV Ojha b KV Sharma,1
2,Delhi Daredevils,SS Iyer,0,7,0,0,0.0,c & b B Kumar,2
2,Delhi Daredevils,JP Duminy,12,16,0,0,75.0,b KV Sharma,3
2,Delhi Daredevils,Yuvraj Singh,2,7,0,0,28.57,c KV Sharma b Parvez Rasool,4
2,Delhi Daredevils,KM Jadhav,63,34,8,2,185.29,not out,5
2,Delhi Daredevils,SS Tiwary,26,25,2,1,104.0,not out,6
