innings,team,wicket_number,player_out,score,over
1,Kings XI Punjab,1,WP Saha,34,3.1
1,Kings XI Punjab,2,M Vohra,50,5.2
1,Kings XI Punjab,3,GJ Maxwell,54,5.4
1,Kings XI Punjab,4,DA Miller,71,6.4
1,Kings XI Punjab,5,GJ Bailey,99,9.5
1,Kings XI Punjab,6,Gurkeerat Singh,102,10.3
2,Royal Challengers Bangalore,1,V Kohli,33,3.6
2,Royal Challengers Bangalore,2,CH Gayle,44,5.4
2,Royal Challengers Bangalore,3,AB de Villiers,67,7.4
2,Royal Challengers Bangalore,4,KD Karthik,74,8.5
2,Royal Challengers Bangalore,5,Mandeep Singh,77,9.4
2,Royal Challengers Bangalore,6,SN Khan,83,10.5
