match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2015-04-10,Kings XI Punjab,Maharashtra Cricket Association Stadium,3.0,0,15,0,5.0,7,0,0
6,2015-04-12,Delhi Daredevils,Feroz Shah Kotla,3.0,0,18,1,6.0,8,0,0
9,2015-04-14,Mumbai Indians,"Sardar Patel Stadium, Motera",3.0,0,25,1,8.33,5,0,0
11,2015-04-16,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4.0,0,21,2,5.25,12,0,0
15,2015-04-19,Chennai Super Kings,"Sardar Patel Stadium, Motera",4.0,0,36,1,9.0,6,0,0
18,2015-04-21,Kings XI Punjab,"Sardar Patel Stadium, Motera",3.0,0,20,1,6.67,4,0,0
22,2015-04-24,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",4.0,0,36,0,9.0,6,0,0
29,2015-04-29,Royal Challengers Bangalore,M Chinnaswamy Stadium,3.0,0,39,0,13.0,2,0,0
41,2015-05-07,Sunrisers Hyderabad,Brabourne Stadium,4.0,0,32,1,8.0,11,0,0
47,2015-05-10,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",3.0,0,24,0,8.0,8,0,0
