match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
4,Chennai Super Kings,DA Warner,53,42,1,3,126.19,c DR Smith b IC Pandey
4,Chennai Super Kings,S Dhawan,26,18,5,0,144.44,c RA Jadeja b MM Sharma
4,Chennai Super Kings,KL Rahul,5,8,1,0,62.5,b MM Sharma
4,Chennai Super Kings,NV Ojha,15,11,0,1,136.36,c MM Sharma b R Ashwin
4,Chennai Super Kings,RS Bopara,22,15,0,2,146.67,b DJ Bravo
4,Chennai Super Kings,KS Williamson,26,18,1,1,144.44,not out
4,Chennai Super Kings,KV Sharma,4,6,0,0,66.67,c SK Raina b DJ Bravo
4,Chennai Super Kings,Parvez Rasool,2,2,0,0,100.0,not out
8,Royal Challengers Bangalore,DA Warner,57,27,6,4,211.11,lbw b YS Chahal
8,Royal Challengers Bangalore,S Dhawan,50,42,4,2,119.05,not out
8,Royal Challengers Bangalore,KS Williamson,5,9,0,0,55.56,st KD Karthik b YS Chahal
8,Royal Challengers Bangalore,KL Rahul,44,28,4,1,157.14,not out
11,Rajasthan Royals,DA Warner,21,14,3,1,150.0,run out (AM Rahane)
11,Rajasthan Royals,S Dhawan,10,12,2,0,83.33,c SV Samson b DS Kulkarni
11,Rajasthan Royals,KL Rahul,2,5,0,0,40.0,lbw b DS Kulkarni
11,Rajasthan Royals,NV Ojha,25,32,3,0,78.12,b PV Tambe
11,Rajasthan Royals,EJG Morgan,27,30,2,1,90.0,lbw b PV Tambe
11,Rajasthan Royals,RS Bopara,23,19,1,1,121.05,not out
11,Rajasthan Royals,A Ashish Reddy,13,9,0,1,144.44,not out
13,Delhi Daredevils,DA Warner,28,20,4,0,140.0,c & b JP Duminy
13,Delhi Daredevils,S Dhawan,18,18,3,0,100.0,b JP Duminy
13,Delhi Daredevils,RS Bopara,41,30,1,3,136.67,c MK Tiwary b JP Duminy
13,Delhi Daredevils,KL Rahul,24,21,0,2,114.29,b AD Mathews
13,Delhi Daredevils,NV Ojha,12,10,1,0,120.0,c JP Duminy b Imran Tahir
13,Delhi Daredevils,EJG Morgan,1,2,0,0,50.0,b JP Duminy
13,Delhi Daredevils,A Ashish Reddy,15,8,1,1,187.5,run out (NM Coulter-Nile)
13,Delhi Daredevils,KV Sharma,19,10,0,2,190.0,c AD Mathews b NM Coulter-Nile
13,Delhi Daredevils,P Kumar,1,1,0,0,100.0,not out
19,Kolkata Knight Riders,S Dhawan,54,46,4,1,117.39,c J Botha b AD Russell
19,Kolkata Knight Riders,DA Warner,91,55,9,4,165.45,c RV Uthappa b M Morkel
19,Kolkata Knight Riders,RS Bopara,2,4,0,0,50.0,c J Botha b M Morkel
19,Kolkata Knight Riders,NV Ojha,18,8,1,2,225.0,b UT Yadav
19,Kolkata Knight Riders,MC Henriques,7,5,1,0,140.0,not out
19,Kolkata Knight Riders,KL Rahul,0,3,0,0,0.0,not out
23,Mumbai Indians,S Dhawan,42,29,7,1,144.83,c SL Malinga b MJ McClenaghan
23,Mumbai Indians,DA Warner,9,7,2,0,128.57,c AT Rayudu b SL Malinga
23,Mumbai Indians,KL Rahul,25,27,0,1,92.59,c AT Rayudu b MJ McClenaghan
23,Mumbai Indians,NV Ojha,9,9,0,0,100.0,c KA Pollard b J Suchith
23,Mumbai Indians,RS Bopara,23,27,1,0,85.19,c HH Pandya b MJ McClenaghan
23,Mumbai Indians,GH Vihari,16,10,3,0,160.0,c PA Patel b SL Malinga
23,Mumbai Indians,KV Sharma,2,5,0,0,40.0,not out
23,Mumbai Indians,P Kumar,0,2,0,0,0.0,b SL Malinga
23,Mumbai Indians,DW Steyn,0,1,0,0,0.0,c KA Pollard b SL Malinga
23,Mumbai Indians,B Kumar,6,4,1,0,150.0,not out
27,Kings XI Punjab,DA Warner,58,41,10,1,141.46,c DA Miller b AR Patel
27,Kings XI Punjab,S Dhawan,1,2,0,0,50.0,c M Vijay b MG Johnson
27,Kings XI Punjab,GH Vihari,9,8,2,0,112.5,c M Vohra b Anureet Singh
27,Kings XI Punjab,MC Henriques,30,32,1,0,93.75,b Sandeep Sharma
27,Kings XI Punjab,NV Ojha,28,26,3,0,107.69,c DA Miller b AR Patel
27,Kings XI Punjab,RS Bopara,0,2,0,0,0.0,c WP Saha b MG Johnson
27,Kings XI Punjab,A Ashish Reddy,22,8,1,2,275.0,not out
27,Kings XI Punjab,KV Sharma,1,1,0,0,100.0,not out
34,Chennai Super Kings,DA Warner,61,28,11,1,217.86,c DR Smith b SK Raina
34,Chennai Super Kings,S Dhawan,37,32,4,0,115.62,"run out (RA Jadeja, MS Dhoni)"
34,Chennai Super Kings,MC Henriques,19,9,1,2,211.11,st MS Dhoni b P Negi
34,Chennai Super Kings,EJG Morgan,32,27,1,2,118.52,not out
34,Chennai Super Kings,NV Ojha,20,12,3,1,166.67,b A Nehra
34,Chennai Super Kings,A Ashish Reddy,6,6,1,0,100.0,c MS Dhoni b DJ Bravo
34,Chennai Super Kings,GH Vihari,8,5,1,0,160.0,c B Aparajith b DJ Bravo
34,Chennai Super Kings,KV Sharma,4,2,1,0,200.0,c RA Jadeja b DJ Bravo
38,Kolkata Knight Riders,DA Warner,4,3,1,0,133.33,b UT Yadav
38,Kolkata Knight Riders,S Dhawan,15,15,3,0,100.0,c MK Pandey b GB Hogg
38,Kolkata Knight Riders,NV Ojha,0,3,0,0,0.0,b UT Yadav
38,Kolkata Knight Riders,MC Henriques,41,33,2,2,124.24,c MK Pandey b GB Hogg
38,Kolkata Knight Riders,EJG Morgan,5,11,0,0,45.45,"run out (G Gambhir, RN ten Doeschate)"
38,Kolkata Knight Riders,GH Vihari,6,12,0,0,50.0,st RV Uthappa b PP Chawla
38,Kolkata Knight Riders,Bipul Sharma,1,2,0,0,50.0,"run out (RN ten Doeschate, RV Uthappa)"
38,Kolkata Knight Riders,KV Sharma,32,20,0,3,160.0,c SA Yadav b J Botha
38,Kolkata Knight Riders,P Kumar,12,16,1,0,75.0,c UT Yadav b AD Russell
38,Kolkata Knight Riders,B Kumar,11,4,1,1,275.0,not out
38,Kolkata Knight Riders,DW Steyn,1,1,0,0,100.0,not out
41,Rajasthan Royals,S Dhawan,54,35,6,2,154.29,b JP Faulkner
41,Rajasthan Royals,DA Warner,24,18,5,0,133.33,c SV Samson b SR Watson
41,Rajasthan Royals,MC Henriques,20,21,3,0,95.24,b PV Tambe
41,Rajasthan Royals,EJG Morgan,63,28,4,5,225.0,c SPD Smith b SR Watson
41,Rajasthan Royals,RS Bopara,17,12,2,0,141.67,not out
41,Rajasthan Royals,NV Ojha,8,6,1,0,133.33,not out
45,Delhi Daredevils,S Dhawan,13,10,2,0,130.0,c JA Morkel b Z Khan
45,Delhi Daredevils,DA Warner,17,15,1,1,113.33,c SS Tiwary b NM Coulter-Nile
45,Delhi Daredevils,MC Henriques,74,46,1,5,160.87,not out
45,Delhi Daredevils,EJG Morgan,22,25,2,0,88.0,c NM Coulter-Nile b J Yadav
45,Delhi Daredevils,KV Sharma,16,13,2,0,123.08,c J Yadav b NM Coulter-Nile
45,Delhi Daredevils,RS Bopara,17,11,1,0,154.55,not out
48,Kings XI Punjab,DA Warner,81,52,6,5,155.77,c Gurkeerat Singh b BE Hendricks
48,Kings XI Punjab,S Dhawan,24,18,4,0,133.33,st WP Saha b GJ Maxwell
48,Kings XI Punjab,MC Henriques,28,24,4,0,116.67,c Anureet Singh b Gurkeerat Singh
48,Kings XI Punjab,EJG Morgan,17,7,1,2,242.86,c M Vohra b BE Hendricks
48,Kings XI Punjab,NV Ojha,2,3,0,0,66.67,run out (GJ Bailey)
48,Kings XI Punjab,KL Rahul,17,10,1,1,170.0,not out
48,Kings XI Punjab,KV Sharma,11,7,0,1,157.14,not out
52,Royal Challengers Bangalore,DA Warner,52,32,5,1,162.5,not out
52,Royal Challengers Bangalore,S Dhawan,8,7,1,0,114.29,c AB Dinda b D Wiese
52,Royal Challengers Bangalore,MC Henriques,57,22,5,4,259.09,c KD Karthik b D Wiese
52,Royal Challengers Bangalore,EJG Morgan,11,7,0,1,157.14,c Mandeep Singh b MA Starc
56,Mumbai Indians,DA Warner,6,5,1,0,120.0,c KA Pollard b MJ McClenaghan
56,Mumbai Indians,S Dhawan,1,2,0,0,50.0,b SL Malinga
56,Mumbai Indians,MC Henriques,11,19,1,0,57.89,st PA Patel b J Suchith
56,Mumbai Indians,EJG Morgan,9,14,1,0,64.29,c LMP Simmons b MJ McClenaghan
56,Mumbai Indians,KL Rahul,25,24,2,0,104.17,b Harbhajan Singh
56,Mumbai Indians,NV Ojha,0,1,0,0,0.0,c RG Sharma b J Suchith
56,Mumbai Indians,KV Sharma,15,21,0,0,71.43,c J Suchith b SL Malinga
56,Mumbai Indians,A Ashish Reddy,17,15,0,1,113.33,c R Vinay Kumar b KA Pollard
56,Mumbai Indians,B Kumar,0,2,0,0,0.0,c HH Pandya b MJ McClenaghan
56,Mumbai Indians,P Kumar,4,6,0,0,66.67,"run out (HH Pandya, KA Pollard)"
56,Mumbai Indians,DW Steyn,19,11,3,0,172.73,not out
