innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kings XI Punjab,AR Patel,4.0,0,41,1,10.25,3,0,0
1,Kings XI Punjab,GJ Maxwell,1.0,0,11,0,11.0,1,0,0
1,Kings XI Punjab,MG Johnson,4.0,0,43,1,10.75,8,0,1
1,Kings XI Punjab,MM Sharma,4.0,0,38,3,9.5,7,2,0
1,Kings XI Punjab,P Sahu,3.0,0,35,0,11.67,1,0,0
1,Kings XI Punjab,Sandeep Sharma,4.0,0,20,1,5.0,13,1,0
2,Mumbai Indians,Harbhajan Singh,4.0,0,31,0,7.75,8,0,0
2,Mumbai Indians,JJ Bumrah,4.0,0,26,3,6.5,6,0,0
2,Mumbai Indians,KA Pollard,2.0,0,25,0,12.5,0,0,0
2,Mumbai Indians,KH Pandya,2.0,0,20,0,10.0,1,0,0
2,Mumbai Indians,MJ McClenaghan,4.0,0,32,2,8.0,7,2,1
2,Mumbai Indians,TG Southee,4.0,0,28,2,7.0,11,0,0
