innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Delhi Daredevils,A Mishra,3.0,0,19,1,6.33,4,0,0
1,Delhi Daredevils,CH Morris,4.0,0,32,1,8.0,8,1,0
1,Delhi Daredevils,JP Duminy,2.0,0,14,0,7.0,4,0,0
1,Delhi Daredevils,Mohammed Shami,4.0,0,31,1,7.75,8,0,0
1,Delhi Daredevils,S Nadeem,3.0,0,23,2,7.67,7,1,0
1,Delhi Daredevils,Z Khan,4.0,0,27,1,6.75,12,1,0
2,Gujarat Lions,DR Smith,2.0,0,12,0,6.0,4,0,0
2,Gujarat Lions,DS Kulkarni,2.0,0,24,0,12.0,4,0,0
2,Gujarat Lions,JP Faulkner,1.0,0,9,0,9.0,2,0,0
2,Gujarat Lions,P Kumar,2.0,0,20,0,10.0,4,1,0
2,Gujarat Lions,RA Jadeja,2.2,0,21,1,9.0,3,0,1
2,Gujarat Lions,S Kaushik,4.0,0,29,1,7.25,9,0,0
2,Gujarat Lions,SK Raina,4.0,0,34,0,8.5,6,0,0
