innings,team,wicket_number,player_out,score,over
1,Sunrisers Hyderabad,1,DA Warner,67,9.5
1,Sunrisers Hyderabad,2,S Dhawan,98,13.6
1,Sunrisers Hyderabad,3,Yuvraj Singh,113,15.6
1,Sunrisers Hyderabad,4,MC Henriques,114,16.2
1,Sunrisers Hyderabad,5,DJ Hooda,135,18.5
1,Sunrisers Hyderabad,6,KS Williamson,137,19.3
1,Sunrisers Hyderabad,7,B Kumar,138,19.6
1,Sunrisers Hyderabad,8,NV Ojha,143,20.5
2,Delhi Daredevils,1,MA Agarwal,20,4.1
2,Delhi Daredevils,2,KK Nair,75,10.2
2,Delhi Daredevils,3,Q de Kock,78,10.5
