innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Rising Pune Supergiants,A Zampa,4.0,0,21,3,5.25,7,0,0
1,Rising Pune Supergiants,AB Dinda,4.0,1,20,3,5.0,14,0,0
1,Rising Pune Supergiants,DL Chahar,2.0,0,13,0,6.5,6,0,0
1,Rising Pune Supergiants,IK Pathan,3.0,0,17,0,5.67,9,0,0
1,Rising Pune Supergiants,NLTC Perera,3.0,0,27,0,9.0,7,0,0
1,Rising Pune Supergiants,R Ashwin,4.0,0,23,0,5.75,9,2,0
2,Delhi Daredevils,A Mishra,2.0,0,10,0,5.0,5,0,0
2,Delhi Daredevils,CH Morris,2.0,0,12,1,6.0,7,1,1
2,Delhi Daredevils,Mohammed Shami,1.0,0,12,0,12.0,1,0,0
2,Delhi Daredevils,NM Coulter-Nile,3.0,0,21,0,7.0,8,1,0
2,Delhi Daredevils,Z Khan,3.0,0,19,0,6.33,10,2,0
