innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kings XI Punjab,AR Patel,3.0,0,46,1,15.33,6,3,0
1,Kings XI Punjab,KC Cariappa,3.0,0,55,0,18.33,6,0,1
1,Kings XI Punjab,KJ Abbott,3.0,0,48,1,16.0,5,2,1
1,Kings XI Punjab,MM Sharma,3.0,0,33,0,11.0,4,0,0
1,Kings XI Punjab,Sandeep Sharma,3.0,0,29,1,9.67,8,0,0
2,Royal Challengers Bangalore,CH Gayle,3.0,0,25,0,8.33,0,0,0
2,Royal Challengers Bangalore,CJ Jordan,1.0,0,12,0,12.0,1,0,0
2,Royal Challengers Bangalore,S Aravind,2.0,0,18,2,9.0,6,2,0
2,Royal Challengers Bangalore,SR Watson,2.0,0,7,2,3.5,7,2,0
2,Royal Challengers Bangalore,STR Binny,1.0,0,11,0,11.0,1,0,0
2,Royal Challengers Bangalore,Sachin Baby,1.0,0,4,0,4.0,2,0,0
2,Royal Challengers Bangalore,VR Aaron,1.0,0,17,0,17.0,1,1,0
2,Royal Challengers Bangalore,YS Chahal,3.0,0,25,4,8.33,8,0,0
