innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,RG Sharma,33,4.5
1,Mumbai Indians,2,MJ Guptill,41,5.3
1,Mumbai Indians,3,KH Pandya,45,5.6
1,Mumbai Indians,4,JC Buttler,120,14.5
1,Mumbai Indians,5,N Rana,153,17.6
1,Mumbai Indians,6,KA Pollard,160,18.5
1,Mumbai Indians,7,Harbhajan Singh,166,20.2
1,Mumbai Indians,8,HH Pandya,172,20.6
2,Gujarat Lions,1,AJ Finch,0,1.2
2,Gujarat Lions,2,BB McCullum,96,10.2
2,Gujarat Lions,3,KD Karthik,111,11.6
2,Gujarat Lions,4,SK Raina,122,13.2
