innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Sunrisers Hyderabad,B Kumar,4.0,0,31,2,7.75,6,0,0
1,Sunrisers Hyderabad,BB Sran,4.0,0,31,1,7.75,6,1,0
1,Sunrisers Hyderabad,DJ Hooda,2.0,0,16,2,8.0,3,0,0
1,Sunrisers Hyderabad,KS Williamson,1.0,0,7,0,7.0,2,0,0
1,Sunrisers Hyderabad,KV Sharma,3.0,0,39,0,13.0,4,1,0
1,Sunrisers Hyderabad,MC Henriques,2.0,0,14,0,7.0,1,0,0
1,Sunrisers Hyderabad,Mustafizur Rahman,4.0,0,32,1,8.0,6,1,0
2,Kolkata Knight Riders,AS Rajpoot,3.0,0,21,1,7.0,4,0,0
2,Kolkata Knight Riders,C Munro,1.0,0,8,0,8.0,1,0,0
2,Kolkata Knight Riders,JO Holder,3.0,0,21,0,7.0,7,0,1
2,Kolkata Knight Riders,Kuldeep Yadav,4.0,0,28,2,7.0,11,1,0
2,Kolkata Knight Riders,SP Narine,4.0,0,26,3,6.5,11,0,0
2,Kolkata Knight Riders,Shakib Al Hasan,4.0,0,34,1,8.5,8,2,0
2,Kolkata Knight Riders,YK Pathan,1.0,0,4,0,4.0,3,0,0
