innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Gujarat Lions,ER Dwivedi,5,5,1,0,100.0,c TA Boult b B Kumar,1
1,Gujarat Lions,BB McCullum,32,29,5,0,110.34,c B Kumar b Bipul Sharma,2
1,Gujarat Lions,SK Raina,1,5,0,0,20.0,lbw b TA Boult,3
1,Gujarat Lions,KD Karthik,26,19,4,1,136.84,run out (TA Boult),4
1,Gujarat Lions,AJ Finch,50,32,7,2,156.25,b BCJ Cutting,5
1,Gujarat Lions,DR Smith,1,3,0,0,33.33,c S Dhawan b BCJ Cutting,6
1,Gujarat Lions,RA Jadeja,19,15,1,0,126.67,not out,7
1,Gujarat Lions,DJ Bravo,20,10,4,0,200.0,b B Kumar,8
1,Gujarat Lions,DS Kulkarni,3,2,0,0,150.0,not out,9
2,Sunrisers Hyderabad,DA Warner,93,58,11,3,160.34,not out,1
2,Sunrisers Hyderabad,S Dhawan,0,4,0,0,0.0,run out (BB McCullum),2
2,Sunrisers Hyderabad,MC Henriques,11,6,2,0,183.33,c ER Dwivedi b DR Smith,3
2,Sunrisers Hyderabad,Yuvraj Singh,8,13,1,0,61.54,c DR Smith b S Kaushik,4
2,Sunrisers Hyderabad,DJ Hooda,4,9,0,0,44.44,lbw b DJ Bravo,5
2,Sunrisers Hyderabad,BCJ Cutting,8,7,1,0,114.29,c KD Karthik b S Kaushik,6
2,Sunrisers Hyderabad,NV Ojha,10,8,0,1,125.0,c RA Jadeja b DJ Bravo,7
2,Sunrisers Hyderabad,Bipul Sharma,27,11,0,3,245.45,not out,8
