innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Sunrisers Hyderabad,1,DA Warner,32,15,S Dhawan,28,25,63,40
1,Sunrisers Hyderabad,2,DA Warner,29,14,MC Henriques,4,5,34,19
1,Sunrisers Hyderabad,3,DA Warner,8,9,Yuvraj Singh,19,13,28,22
1,Sunrisers Hyderabad,4,DJ Hooda,3,6,Yuvraj Singh,19,9,22,15
1,Sunrisers Hyderabad,5,Yuvraj Singh,0,1,BCJ Cutting,0,0,1,1
1,Sunrisers Hyderabad,6,NV Ojha,7,4,BCJ Cutting,0,2,10,6
1,Sunrisers Hyderabad,7,BCJ Cutting,11,6,Bipul Sharma,5,3,16,9
1,Sunrisers Hyderabad,8,BCJ Cutting,28,7,B Kumar,1,1,34,8
2,Royal Challengers Bangalore,1,CH Gayle,76,38,V Kohli,32,25,114,63
2,Royal Challengers Bangalore,2,V Kohli,22,10,AB de Villiers,4,4,26,14
2,Royal Challengers Bangalore,3,KL Rahul,7,4,AB de Villiers,1,2,8,6
2,Royal Challengers Bangalore,4,KL Rahul,4,5,SR Watson,8,5,12,10
2,Royal Challengers Bangalore,5,Sachin Baby,1,2,SR Watson,3,4,4,6
2,Royal Challengers Bangalore,6,Sachin Baby,6,3,STR Binny,9,7,16,10
2,Royal Challengers Bangalore,7,CJ Jordan,3,4,Sachin Baby,10,4,14,8
2,Royal Challengers Bangalore,8,Iqbal Abdulla,4,2,Sachin Baby,1,1,6,3
