match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,2016-04-09,Rising Pune Supergiants,Wankhede Stadium,3.0,0,30,0,10.0,10,0,1
5,2016-04-13,Kolkata Knight Riders,Eden Gardens,4.0,0,32,0,8.0,7,0,0
9,2016-04-16,Gujarat Lions,Wankhede Stadium,4.0,0,32,2,8.0,8,1,1
12,2016-04-18,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",3.0,0,19,0,6.33,6,0,1
14,2016-04-20,Royal Challengers Bangalore,Wankhede Stadium,4.0,0,31,3,7.75,8,0,0
17,2016-04-23,Delhi Daredevils,Feroz Shah Kotla,4.0,0,42,0,10.5,5,1,1
21,2016-04-25,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",4.0,0,26,3,6.5,6,0,0
24,2016-04-28,Kolkata Knight Riders,Wankhede Stadium,4.0,0,34,0,8.5,8,0,0
29,2016-05-01,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,4.0,0,29,3,7.25,9,0,0
37,2016-05-08,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4.0,0,35,0,8.75,9,0,0
41,2016-05-11,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,28,0,7.0,9,0,0
43,2016-05-13,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2.0,0,13,0,6.5,2,1,0
47,2016-05-15,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4.0,0,13,3,3.25,12,0,0
54,2016-05-21,Gujarat Lions,Green Park,4.0,0,42,1,10.5,9,3,0
