match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
4,2016-04-12,Sunrisers Hyderabad,M Chinnaswamy Stadium,4.0,0,43,2,10.75,12,2,0
11,2016-04-17,Delhi Daredevils,M Chinnaswamy Stadium,2.1,0,23,0,10.62,2,1,0
19,2016-04-24,Gujarat Lions,Saurashtra Cricket Association Stadium,4.0,0,33,1,8.25,6,1,1
30,2016-05-02,Kolkata Knight Riders,M Chinnaswamy Stadium,4.0,0,27,2,6.75,9,2,0
35,2016-05-07,Rising Pune Supergiants,M Chinnaswamy Stadium,4.0,0,38,1,9.5,8,3,0
39,2016-05-09,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",4.0,0,30,1,7.5,6,0,0
41,2016-05-11,Mumbai Indians,M Chinnaswamy Stadium,4.0,0,16,1,4.0,9,0,0
44,2016-05-14,Gujarat Lions,M Chinnaswamy Stadium,4.0,0,19,3,4.75,13,0,0
48,2016-05-16,Kolkata Knight Riders,Eden Gardens,4.0,0,38,1,9.5,8,2,0
50,2016-05-18,Kings XI Punjab,M Chinnaswamy Stadium,3.0,0,25,4,8.33,8,0,0
56,2016-05-22,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,4.0,0,32,3,8.0,9,1,0
57,2016-05-24,Gujarat Lions,M Chinnaswamy Stadium,4.0,0,42,1,10.5,6,0,0
60,2016-05-29,Sunrisers Hyderabad,M Chinnaswamy Stadium,4.0,0,35,1,8.75,4,0,0
