match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
34,2016-05-06,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",5,14,0,0,35.71,c PJ Sangwan b DS Kulkarni,5
37,2016-05-08,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,39,23,3,2,169.57,hit wicket b MJ McClenaghan,4
40,2016-05-10,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,23,21,1,2,109.52,c SS Tiwary b A Zampa,4
42,2016-05-12,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",8,8,0,1,100.0,c RR Pant b A Mishra,4
46,2016-05-15,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",42,24,3,3,175.0,not out,4
52,2016-05-20,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,10,11,1,0,90.91,b CR Brathwaite,4
55,2016-05-22,Kolkata Knight Riders,Eden Gardens,19,12,1,2,158.33,c R Sathish b Shakib Al Hasan,4
58,2016-05-25,Kolkata Knight Riders,Feroz Shah Kotla,44,30,8,1,146.67,b JO Holder,4
59,2016-05-27,Gujarat Lions,Feroz Shah Kotla,8,13,1,0,61.54,c DR Smith b S Kaushik,4
60,2016-05-29,Royal Challengers Bangalore,M Chinnaswamy Stadium,38,23,4,2,165.22,c SR Watson b CJ Jordan,4
