innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kolkata Knight Riders,CR Woakes,3.0,0,35,0,11.67,4,0,0
1,Kolkata Knight Riders,Kuldeep Yadav,4.0,0,25,2,6.25,8,0,0
1,Kolkata Knight Riders,PP Chawla,4.0,0,33,1,8.25,7,1,0
1,Kolkata Knight Riders,SP Narine,4.0,0,33,0,8.25,7,0,0
1,Kolkata Knight Riders,TA Boult,4.0,0,40,1,10.0,8,1,0
1,Kolkata Knight Riders,YK Pathan,1.0,0,15,0,15.0,1,0,0
2,Gujarat Lions,DR Smith,1.0,0,23,0,23.0,1,0,0
2,Gujarat Lions,DS Kulkarni,2.5,0,42,0,14.82,3,2,0
2,Gujarat Lions,MS Gony,2.0,0,32,0,16.0,4,3,0
2,Gujarat Lions,P Kumar,2.0,0,13,0,6.5,2,0,0
2,Gujarat Lions,S Kaushik,4.0,0,40,0,10.0,9,0,0
2,Gujarat Lions,SB Jakati,3.0,0,30,0,10.0,2,2,0
