innings,team,wicket_number,player_out,score,over
1,Delhi Daredevils,1,AP Tare,2,2.1
1,Delhi Daredevils,2,SW Billings,71,9.1
1,Delhi Daredevils,3,RR Pant,124,16.2
1,Delhi Daredevils,4,SV Samson,166,19.2
2,Rising Pune Supergiant,1,AM Rahane,24,3.6
2,Rising Pune Supergiant,2,MA Agarwal,34,5.5
2,Rising Pune Supergiant,3,RA Tripathi,49,6.5
2,Rising Pune Supergiant,4,F du Plessis,52,7.4
2,Rising Pune Supergiant,5,BA Stokes,54,8.5
2,Rising Pune Supergiant,6,MS Dhoni,79,12.6
2,Rising Pune Supergiant,7,R Bhatia,94,14.1
2,Rising Pune Supergiant,8,DL Chahar,100,15.1
2,Rising Pune Supergiant,9,A Zampa,107,16.3
2,Rising Pune Supergiant,10,AB Dinda,108,17.1
