innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Delhi Daredevils,1,AP Tare,0,5,SW Billings,0,2,2,7
1,Delhi Daredevils,2,SV Samson,40,27,SW Billings,24,15,69,42
1,Delhi Daredevils,3,RR Pant,31,22,SV Samson,22,21,53,43
1,Delhi Daredevils,4,SV Samson,40,15,CJ Anderson,1,3,42,18
1,Delhi Daredevils,5,CH Morris,38,9,CJ Anderson,1,1,39,10
2,Rising Pune Supergiant,1,AM Rahane,10,9,MA Agarwal,12,9,24,18
2,Rising Pune Supergiant,2,F du Plessis,2,2,MA Agarwal,8,9,10,11
2,Rising Pune Supergiant,3,F du Plessis,4,1,RA Tripathi,10,5,15,6
2,Rising Pune Supergiant,4,F du Plessis,2,4,BA Stokes,1,1,3,5
2,Rising Pune Supergiant,5,MS Dhoni,1,3,BA Stokes,1,4,2,7
2,Rising Pune Supergiant,6,R Bhatia,15,14,MS Dhoni,10,11,25,25
2,Rising Pune Supergiant,7,R Bhatia,1,3,DL Chahar,13,4,15,7
2,Rising Pune Supergiant,8,A Zampa,5,4,DL Chahar,1,2,6,6
2,Rising Pune Supergiant,9,AB Dinda,6,5,A Zampa,0,3,7,8
2,Rising Pune Supergiant,10,AB Dinda,1,2,Imran Tahir,0,2,1,4
