innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kolkata Knight Riders,C de Grandhomme,2.0,0,15,1,7.5,7,0,2
1,Kolkata Knight Riders,CR Woakes,3.0,0,30,2,10.0,6,2,0
1,Kolkata Knight Riders,PP Chawla,3.0,0,36,1,12.0,6,0,0
1,Kolkata Knight Riders,SP Narine,4.0,0,19,1,4.75,14,3,0
1,Kolkata Knight Riders,TA Boult,4.0,0,36,0,9.0,10,0,0
1,Kolkata Knight Riders,UT Yadav,4.0,0,33,4,8.25,11,3,0
2,Kings XI Punjab,AR Patel,4.0,0,36,1,9.0,2,0,0
2,Kings XI Punjab,GJ Maxwell,1.0,0,18,0,18.0,0,0,0
2,Kings XI Punjab,I Sharma,2.0,0,16,0,8.0,6,2,0
2,Kings XI Punjab,MM Sharma,3.0,0,30,0,10.0,3,0,0
2,Kings XI Punjab,MP Stoinis,1.3,0,14,0,9.33,2,0,0
2,Kings XI Punjab,Sandeep Sharma,3.0,0,28,0,9.33,8,1,0
2,Kings XI Punjab,VR Aaron,2.0,0,23,1,11.5,4,2,0
