innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kolkata Knight Riders,C de Grandhomme,1.0,0,12,0,12.0,0,0,0
1,Kolkata Knight Riders,CR Woakes,4.0,0,31,1,7.75,4,0,0
1,Kolkata Knight Riders,Kuldeep Yadav,3.0,0,29,0,9.67,4,0,0
1,Kolkata Knight Riders,NM Coulter-Nile,4.0,0,22,3,5.5,12,1,0
1,Kolkata Knight Riders,SP Narine,4.0,0,20,1,5.0,8,1,0
1,Kolkata Knight Riders,UT Yadav,4.0,0,53,1,13.25,7,0,0
2,Delhi Daredevils,A Mishra,2.5,0,26,1,9.18,6,1,0
2,Delhi Daredevils,AD Mathews,2.0,0,15,0,7.5,2,0,0
2,Delhi Daredevils,CH Morris,4.0,0,30,1,7.5,6,0,0
2,Delhi Daredevils,Mohammed Shami,3.0,0,28,0,9.33,5,2,0
2,Delhi Daredevils,PJ Cummins,4.0,0,39,2,9.75,5,1,0
2,Delhi Daredevils,Z Khan,4.0,0,28,2,7.0,9,0,0
