innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Mumbai Indians,PA Patel,8,11,1,0,72.73,b K Rabada,1
1,Mumbai Indians,JC Buttler,28,18,3,2,155.56,run out (SV Samson),2
1,Mumbai Indians,N Rana,8,9,1,0,88.89,c CJ Anderson b PJ Cummins,3
1,Mumbai Indians,RG Sharma,5,9,0,0,55.56,c PJ Cummins b A Mishra,4
1,Mumbai Indians,KA Pollard,26,29,4,0,89.66,c SV Samson b PJ Cummins,5
1,Mumbai Indians,KH Pandya,17,16,1,0,106.25,c RR Pant b A Mishra,6
1,Mumbai Indians,HH Pandya,24,23,0,2,104.35,"run out (KK Nair, RR Pant)",7
1,Mumbai Indians,Harbhajan Singh,2,2,0,0,100.0,run out (K Rabada),8
1,Mumbai Indians,MJ McClenaghan,1,1,0,0,100.0,not out,9
1,Mumbai Indians,MG Johnson,7,3,1,0,233.33,not out,10
2,Delhi Daredevils,SV Samson,9,6,2,0,150.0,c RG Sharma b MJ McClenaghan,1
2,Delhi Daredevils,AP Tare,0,1,0,0,0.0,run out (HH Pandya),2
2,Delhi Daredevils,KK Nair,5,15,0,0,33.33,b HH Pandya,3
2,Delhi Daredevils,SS Iyer,6,7,1,0,85.71,c PA Patel b MJ McClenaghan,4
2,Delhi Daredevils,CJ Anderson,0,3,0,0,0.0,lbw b MJ McClenaghan,5
2,Delhi Daredevils,RR Pant,0,3,0,0,0.0,c Harbhajan Singh b JJ Bumrah,6
2,Delhi Daredevils,K Rabada,44,39,4,1,112.82,b JJ Bumrah,7
2,Delhi Daredevils,CH Morris,52,41,5,1,126.83,not out,8
2,Delhi Daredevils,PJ Cummins,4,5,0,0,80.0,not out,9
