innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Gujarat Lions,AJ Tye,4.0,0,35,2,8.75,6,0,0
1,Gujarat Lions,Basil Thampi,4.0,0,44,0,11.0,5,1,0
1,Gujarat Lions,DR Smith,1.0,0,18,1,18.0,1,0,0
1,Gujarat Lions,NB Singh,2.0,0,7,1,3.5,7,0,0
1,Gujarat Lions,RA Jadeja,4.0,0,32,1,8.0,6,0,0
1,Gujarat Lions,SK Raina,1.0,0,6,0,6.0,3,0,0
1,Gujarat Lions,SS Agarwal,4.0,0,42,1,10.5,7,0,0
2,Kings XI Punjab,AR Patel,4.0,0,36,2,9.0,6,0,0
2,Kings XI Punjab,KC Cariappa,4.0,0,24,2,6.0,8,0,0
2,Kings XI Punjab,MM Sharma,4.0,0,25,1,6.25,8,1,0
2,Kings XI Punjab,MP Stoinis,1.0,0,12,0,12.0,0,1,0
2,Kings XI Punjab,Sandeep Sharma,4.0,0,40,2,10.0,7,0,0
2,Kings XI Punjab,T Natarajan,3.0,0,22,0,7.33,4,2,0
