innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kings XI Punjab,1,M Vohra,2,4,HM Amla,9,4,11,8
1,Kings XI Punjab,2,SE Marsh,30,24,HM Amla,36,24,70,48
1,Kings XI Punjab,3,GJ Maxwell,27,16,HM Amla,20,12,47,28
1,Kings XI Punjab,4,GJ Maxwell,4,2,MP Stoinis,0,0,4,2
1,Kings XI Punjab,5,AR Patel,17,12,MP Stoinis,7,9,25,21
1,Kings XI Punjab,6,AR Patel,17,5,WP Saha,0,0,17,5
1,Kings XI Punjab,7,MM Sharma,4,3,WP Saha,10,5,14,8
1,Kings XI Punjab,8,MM Sharma,4,3,WP Saha,10,5,14,8
2,Gujarat Lions,1,BB McCullum,6,6,AJ Finch,0,0,6,6
2,Gujarat Lions,2,AJ Finch,13,12,SK Raina,27,16,40,28
2,Gujarat Lions,3,KD Karthik,19,12,SK Raina,5,8,24,20
2,Gujarat Lions,4,KD Karthik,14,11,RA Jadeja,9,7,25,18
2,Gujarat Lions,5,KD Karthik,3,2,DR Smith,4,4,7,6
2,Gujarat Lions,6,AD Nath,0,1,KD Karthik,0,0,0,1
2,Gujarat Lions,7,AJ Tye,22,12,KD Karthik,12,9,35,21
2,Gujarat Lions,8,Basil Thampi,11,10,KD Karthik,10,10,25,20
