innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Sunrisers Hyderabad,DA Warner,51,27,4,4,188.89,b GJ Maxwell,1
1,Sunrisers Hyderabad,S Dhawan,77,48,9,1,160.42,c GJ Maxwell b MM Sharma,2
1,Sunrisers Hyderabad,KS Williamson,54,27,4,2,200.0,not out,3
1,Sunrisers Hyderabad,Yuvraj Singh,15,12,2,0,125.0,c AR Patel b GJ Maxwell,4
1,Sunrisers Hyderabad,MC Henriques,7,6,0,0,116.67,not out,5
2,Kings XI Punjab,MJ Guptill,23,11,4,1,209.09,c MC Henriques b B Kumar,1
2,Kings XI Punjab,M Vohra,3,6,0,0,50.0,c S Kaul b A Nehra,2
2,Kings XI Punjab,SE Marsh,84,50,14,2,168.0,c DJ Hooda b B Kumar,3
2,Kings XI Punjab,GJ Maxwell,0,2,0,0,0.0,c A Nehra b S Kaul,4
2,Kings XI Punjab,EJG Morgan,26,21,2,1,123.81,c DJ Hooda b Rashid Khan,5
2,Kings XI Punjab,WP Saha,2,4,0,0,50.0,b S Kaul,6
2,Kings XI Punjab,AR Patel,16,9,2,0,177.78,c DA Warner b S Kaul,7
2,Kings XI Punjab,Anureet Singh,15,12,2,0,125.0,c KS Williamson b A Nehra,8
2,Kings XI Punjab,MM Sharma,2,4,0,0,50.0,c DJ Hooda b A Nehra,9
2,Kings XI Punjab,I Sharma,5,2,1,0,250.0,not out,10
