innings,team,wicket_number,player_out,score,over
1,Sunrisers Hyderabad,1,DA Warner,107,10.6
1,Sunrisers Hyderabad,2,S Dhawan,147,15.2
1,Sunrisers Hyderabad,3,Yuvraj Singh,171,18.1
2,Kings XI Punjab,1,MJ Guptill,26,3.2
2,Kings XI Punjab,2,M Vohra,37,4.5
2,Kings XI Punjab,3,GJ Maxwell,42,5.6
2,Kings XI Punjab,4,EJG Morgan,115,14.1
2,Kings XI Punjab,5,WP Saha,138,15.6
2,Kings XI Punjab,6,SE Marsh,144,16.4
2,Kings XI Punjab,7,AR Patel,162,18.4
2,Kings XI Punjab,8,MM Sharma,175,20.2
2,Kings XI Punjab,9,Anureet Singh,181,20.6
